lambda,gamma,bounds,bounds_tuple,Fold1,Fold2,Fold3,Fold4,Mean_Val_SR,Std_Val_SR,TSCV_Score
2.0,0.005,2%-20%,"(0.02, 0.2)",0.00574904684645613,5.49809991207184,-1.3022870386224537,1.2299829153221,1.3578862089044859,2.552573474568378,0.08159947162029679
2.0,0.0005,2%-20%,"(0.02, 0.2)",-0.11209823473770347,5.668420158022235,-1.137091232678325,1.0856385452306858,1.376217308959223,2.59996366794388,0.07623547498728289
3.0,0.001,2%-20%,"(0.02, 0.2)",-0.055611998044408056,5.547553299342314,-1.2107693083241258,1.1384015719310183,1.3548933912261996,2.559170586047912,0.0753080982022436
2.0,0.0,5%-15%,"(0.05, 0.15)",-0.003467206756735317,5.244457451420848,-1.2178136162232458,1.1318045572878386,1.2887452964321764,2.430274664762112,0.07360796405112047
2.0,0.001,2%-20%,"(0.02, 0.2)",-0.05704434929629703,5.5266362588068345,-1.214896657765598,1.1423912656917006,1.34927162935916,2.5517571577615716,0.07339305047837419
1.5,0.0005,2%-20%,"(0.02, 0.2)",-0.13404122749842676,5.653901864525019,-1.1387982573133644,1.0923017897744185,1.3683410423719116,2.597360640255572,0.06966072224412567
2.5,0.001,2%-20%,"(0.02, 0.2)",-0.06675218749372663,5.522803773070451,-1.215885183921747,1.1386046832949885,1.3446927712374914,2.5518532569293955,0.06876614277279369
1.5,0.005,2%-20%,"(0.02, 0.2)",-0.014610377517061427,5.439570689226342,-1.3528870600800709,1.289356277368946,1.340357382249539,2.544388635062507,0.06816306471828537
2.5,0.0,5%-15%,"(0.05, 0.15)",-0.03435740897011415,5.211705347093603,-1.2195121666260114,1.1322612125054727,1.2725242460007375,2.421518459961096,0.06176501602018947
2.5,0.005,2%-20%,"(0.02, 0.2)",0.009819403474205157,5.512639754807173,-1.3052774375980034,1.137821668960304,1.3387508474109198,2.560208267927108,0.05864671344736583
3.0,0.005,2%-20%,"(0.02, 0.2)",0.06357633791627289,5.404884936217352,-1.327478207626943,1.1202441875235138,1.3153068135075487,2.5156430838485027,0.057485271583297415
5.0,0.005,2%-20%,"(0.02, 0.2)",0.09253431119050333,5.192163917663276,-1.345043053862702,1.0905984641779474,1.2575634097922561,2.4310394718540795,0.04204367386521635
5.0,0.0,2%-20%,"(0.02, 0.2)",0.014675670721230629,5.832245697267394,-1.459187219296732,1.0382972057375208,1.3565078386073535,2.7323131048707454,-0.00964871382801924
