,BMATR,CODIS,COSTP,ENEGY,FINAN,HLTHC,INDUS,RLEST,TECNO,TELCM,UTILS
2015-10-01,0.002920825503179789,0.005139075810268007,0.008240436274526865,0.0005779905332634383,0.009679744398099188,0.016665977800006934,0.00020029779626462539,0.030423438877443563,0.004064838604033187,0.008107894116666443,3.4530450025874423e-09
2015-11-01,-0.0056790189101373284,-0.0032865514065524653,-0.003341408795945727,-0.0026164030124046847,-0.003348573944546778,0.004988217869185494,-0.0011467276972658457,-0.0012951846954658557,-0.001134223510564913,-0.0035819520682688717,-4.8139456469303784e-09
2015-12-01,-0.0006460699973817687,-0.00016283874630219306,-0.0029990447840726603,-0.0032986433023840175,-0.0014247571221430247,0.0035995507226134833,-0.0009600241127213658,0.014703021046768282,-0.002249641415650757,-0.0009115341987313078,1.0008431182445981e-09
2016-01-01,-0.0067192839120954785,-0.008015820081144999,-0.0007676753536918221,-0.00088211208117221,-0.0052426315926497906,0.0031512808234835147,-0.0034263147682272264,-0.03929699861651839,-0.0026444248668093255,-0.005316309880746472,-4.366412541378948e-09
2016-02-01,0.0031596467681207128,-0.0012698881875494363,-0.0004194443843691108,0.003009278846472868,-0.0018391465409837205,-0.008846048118286718,-0.004511138041415349,0.0008554542803214805,2.885556880070768e-06,0.0014492442250497234,-1.0500622023389368e-09
2016-03-01,0.009140375785722799,0.0047839282579822786,0.008051750997448256,0.008796787888862012,0.00761676974853101,0.014816602745237589,0.002828195190159507,0.020423148702001726,0.01035484684321697,0.007062764113549002,5.976482540098146e-09
2016-04-01,0.0030601188116058894,4.1178957724487245e-05,0.00373860038202872,0.005580073056760291,-0.0008926975893497764,-0.0031854226555488798,0.00013780825865876997,-0.0014623671779176704,-0.002499513833212706,-0.0024822234066784344,-3.6221426657876586e-09
2016-05-01,-0.004404142160313359,-0.0016803929519601996,-0.0017760506718990663,-0.005061616816651003,-0.004286044554198273,-0.007760348652601581,-0.002677210115559224,-0.00307568405139326,0.00612368917913936,-0.0048629573091879714,-2.4494036725535163e-10
2016-06-01,0.00789603658317215,0.00024764287282787265,0.01116314849484624,0.007134927474782704,0.0020868859752913127,0.004647080899529996,0.001029225383731868,-2.285492471277823e-05,0.00410288051817326,0.008477692000629533,3.348152774012177e-09
2016-07-01,0.007942864070883468,0.0008718310498791424,-0.00040792691897266806,0.0012479054378810516,0.0031713428832594024,0.004925550765219264,0.002525807192980002,0.004772390866972656,0.008011780306496866,0.0049510143546724625,-2.3406899430465183e-10
2016-08-01,0.00036852123752721287,0.0012957620690658368,-0.0002613253915268757,0.0036131483357556386,0.0026316657227537935,-0.005410850087221073,0.0008194229289890819,0.012062270870498699,0.012638415082685966,-0.0045119699859895515,5.414170560264736e-09
2016-09-01,0.003760396440309128,0.0016153797334036559,-0.00018691043497998406,-0.0004602172240114341,0.001929424693042479,-0.001134771161554709,-4.774150499339217e-10,-0.0009286822723837672,0.005640974120510956,0.0003492420745477098,-0.0020546119785838477
2016-10-01,0.0011401920895015873,-0.002675423800850267,-0.002706844793576752,0.0007739757713521819,0.0008043921012704339,-0.003155206582362897,-9.56971641460592e-10,-0.008888187750553861,-0.005289420146969707,-0.002197365045826163,-0.0021551399466354653
2016-11-01,0.009626578578120689,-0.005652546698695341,-0.009772287726033186,-0.009336122392411227,0.0006153487627938003,-0.0023200438946128824,-5.4473840934836845e-09,0.0014177853900000812,-0.012161774934453366,-0.0003648069091549654,-0.0008534816210537714
2016-12-01,0.002301216665084577,-8.730224893923366e-05,-0.0005030146374688331,0.011982887401172537,-0.0008102723485294413,-0.0007427040873490072,-2.192833486316871e-09,-0.006608305964313944,-0.00047341139456827147,8.759084289563483e-06,-0.0021825739411962535
2017-01-01,0.023263888077841195,0.004151959831268673,0.004962006487955625,0.006925320159580042,0.003294534989894602,1.1730892656506905e-09,0.0012208477479672215,0.004175181208190263,0.01718242879270756,0.004112176230313318,0.0024053164727512516
2017-02-01,-0.0023109809794862424,0.0015239632341247518,0.0011312007968737909,-0.002520934317180726,0.003466314054537596,9.906819343676529e-10,0.0005252568263270868,0.006432526199675151,0.008205217031725037,0.0013965520278622066,0.0019296870207512282
2017-03-01,-0.0015815713340601525,0.0019340523733311034,0.0012416390622572982,0.0037705813849752863,0.0017533075996454314,-8.011433136032079e-10,0.0016621385374673556,0.006710286275200161,0.00784300576779843,0.0009982769636321866,0.007360672001314429
2017-04-01,-0.0014837114517575578,0.0022493518016949926,0.0021977550824041226,-0.0005947015695323246,0.002222101683646025,-1.3136378072382913e-09,0.0015757709748180008,0.002908771135031242,0.007410158431419207,0.0007758397402361549,-0.003231005403806983
2017-05-01,-0.004294179222303961,0.008578321567815463,0.003478329729613659,0.0011824822049811075,0.0034755589464345324,-6.397342711918611e-11,0.0013237840203656013,0.012872471906488483,-0.0022276238485773293,0.0027770623269701786,-0.001924413460461645
2017-06-01,0.0005063649852368192,-0.0008421032992746768,9.45677418916612e-05,-0.0019196374449203545,-0.0007386608624015194,7.139988472271772e-10,-0.0005359462247658955,0.0008764062864185731,0.008806555740394626,-0.001880186290136022,0.0032461513807664822
2017-07-01,0.01531283592268571,0.004998844240448132,0.00014593697618164414,0.005859818739814703,0.005580728025967892,-3.987399195532508e-10,0.002096610801043245,0.01708743340748751,0.015382047933222419,0.0016008451363878897,0.0036973010404748926
2017-08-01,0.008350898908216829,-0.0002456462449436327,0.0026702341524246233,0.006325101346227896,0.001658628308816684,9.08211713595911e-10,-0.0004221588727752822,-0.0005041990838624762,0.005551433098822333,0.0011597446768967996,-0.0013867254506513844
2017-09-01,-0.0014033619734800699,3.493756260942704e-05,-0.0009169970901600123,-0.0011089935487504162,-0.0033220008930391425,1.3648962564810225e-09,3.876198092427357e-05,0.00646976270940082,0.0009403152903730178,-0.0032296242011628476,0.0026674585252602087
2017-10-01,0.006408903896613076,0.0006697581621204712,0.0012529693235966335,0.0016845126777562168,0.002386501804646529,4.5634123065379685e-09,0.0032637611182321663,0.003912912118018163,0.005879855026897353,0.000345454738572085,0.0030425494128008494
2017-11-01,-0.0008232481265063706,0.0022125385726985613,0.001909342810829312,-0.0025566013666879685,0.0016290331968970835,2.3640275164936946e-09,-0.0006386010358277532,-0.010860667693166933,0.0008614641002127783,1.3729562015373256e-06,-0.00021399560368345267
