Factor,PC,Gross_Sharpe,TC_Adj_Sharpe,Stability,Total_TO,BreakEven_TC,DoF,r_Performance,r_Stability,r_Parsimony,r_TC_Robustness,r_LowTurnover,Composite
Corr03-ICwt,BlackLitterman,0.5446910776470958,0.4635361760538447,0.4292576642200906,0.21267381594965562,302.0285652857926,4,0.8125,0.25,0.08125,0.65,0.2375,0.44375000000000003
All6-EW,InverseVol,0.4184966734311198,0.3407557541082905,0.3489250934733906,0.1940424064631372,242.24501676133553,0,0.425,0.1125,0.96875,0.3875,0.3625,0.44375
All6-ICwt,BlackLitterman,0.3790995431295682,0.3091164503609211,0.8283017571322866,0.181860789859366,243.76572634802653,3,0.2625,0.8,0.24375,0.4,0.55,0.4425
Top3-EW,HRP,0.2991214007091244,0.22393264207354494,0.8325387073451377,0.2009466506476377,179.0222804069686,1,0.1125,0.8125,0.80625,0.1,0.2875,0.441875
Corr05-EW,MinVariance,0.4010027891857533,0.3188377131879022,0.7167164534881545,0.2049820852377489,219.62038365096706,2,0.35,0.6875,0.51875,0.225,0.275,0.441875
All6-EW,RiskParity,0.4272841745647516,0.3504839905759052,0.36394253558242695,0.1918248511767244,250.36122124663447,1,0.4375,0.15,0.80625,0.45,0.4125,0.43875000000000003
Corr03-EW,BlackLitterman,0.5145074653892744,0.4187844620824352,0.5655490790733737,0.2538845926498332,241.8732712376475,3,0.675,0.5,0.24375,0.375,0.0625,0.43875
All6-ICwt,MeanCVaR,0.3474724619015601,0.28769994135581,0.5008523432050555,0.1447361729224385,261.596142220608,2,0.2375,0.425,0.51875,0.475,0.8,0.4325
Top3-EW,TO_MVO,0.37365426328056295,0.31192122781231096,0.7055288802921328,0.16839078768664759,272.3734823678427,4,0.3,0.675,0.08125,0.525,0.6375,0.4175
Top3-EW,MaxSharpe,0.35102151661122244,0.2808817866377694,0.8743901533613678,0.1919692860857554,225.2071437041973,3,0.225,0.8625,0.24375,0.2625,0.4,0.41125
All6-ICwt,Momentum,0.4105949210317783,0.31721936891481844,0.6153075860906818,0.2314351079657317,197.87590035651337,2,0.3375,0.5625,0.51875,0.175,0.1375,0.385625
Top3-EW,EqualWeight,0.31600720357548207,0.257813884282554,0.29372683101383573,0.1531772715472313,244.36351687237192,1,0.2,0.05,0.80625,0.4125,0.725,0.36812500000000004
Top3-ICwt,EqualWeight,0.3188068383105059,0.27037332783076945,0.23069070464586647,0.1254649517494697,296.2062336979489,2,0.2125,0.025,0.51875,0.625,0.9125,0.35875
Top3-EW,InverseVol,0.27142204172222656,0.2084770463749682,0.4417407713080141,0.16322552510252789,194.04230328586746,1,0.1,0.3,0.80625,0.1625,0.675,0.35812499999999997
Top3-EW,Momentum,0.415537905869936,0.3158019380460976,0.4967408456322958,0.2570478303030004,187.48708386903255,2,0.3125,0.4125,0.51875,0.1375,0.05,0.32625000000000004
Top3-ICwt,HRP,0.2397571497676284,0.17277261497017177,0.6013208617531451,0.1733332556640673,161.06809985568384,2,0.05,0.5375,0.51875,0.05,0.6125,0.321875
Top3-ICwt,TO_MVO,0.27610602608548357,0.2245608073943584,0.6408692127578836,0.140459096385735,241.04604635203557,5,0.125,0.5875,0.01875,0.3375,0.825,0.32125000000000004
All6-ICwt,MinVariance,0.25656860627521205,0.19436630411395023,0.4748135815760313,0.1508348816586731,185.61350434349131,2,0.075,0.375,0.51875,0.125,0.775,0.31625000000000003
Top3-EW,RiskParity,0.3017381217459624,0.24007805537224125,0.4281397501430205,0.16058183000457069,220.21084758927825,2,0.1625,0.225,0.51875,0.2375,0.7,0.314375
Top3-ICwt,MaxSharpe,0.2598040682493274,0.19232728685540249,0.8558892453559342,0.1841813402940592,173.2623108231465,4,0.0625,0.8375,0.08125,0.075,0.525,0.308125
Top3-ICwt,InverseVol,0.28423844472650256,0.23126564599254443,0.3319848970784157,0.1355482753400154,241.45845260943588,2,0.1375,0.075,0.51875,0.3625,0.8625,0.304375
Top3-EW,MinVariance,0.19643833367413477,0.12785057154109897,0.543431927648236,0.1742907737928943,128.88195707843838,2,0.025,0.4875,0.51875,0.0125,0.6,0.295
Top3-ICwt,RiskParity,0.2968684949755308,0.24526299549032135,0.3361817821734668,0.132873129863209,258.8693532116223,3,0.1875,0.0875,0.24375,0.4625,0.8875,0.28500000000000003
Top3-ICwt,BlackLitterman,0.26352651608981165,0.19502503059452003,0.7592244114556035,0.1850732002187983,173.11585490881944,4,0.0875,0.7375,0.08125,0.0625,0.4875,0.285
Top3-ICwt,MinVariance,0.18824536333542666,0.1289041351500758,0.5332383944015882,0.1509556285286938,142.7513654357664,3,0.0375,0.4625,0.24375,0.025,0.7625,0.25562500000000005
Top3-ICwt,Momentum,0.4046058510471066,0.3170070905495142,0.4039474202200102,0.22375879804521148,207.84841239414789,3,0.325,0.175,0.24375,0.2,0.1625,0.23625000000000002
Top3-EW,BlackLitterman,0.3172273721310626,0.23844990891607126,0.4790331439848397,0.2153127269268535,181.20958918084668,3,0.15,0.3875,0.24375,0.1125,0.2125,0.22874999999999998
Top3-ICwt,MeanCVaR,0.1822152234550691,0.12676612164166584,0.11523308132516613,0.141267478625865,147.87768940012023,3,0.0125,0.0125,0.24375,0.0375,0.8125,0.14250000000000002
