EM Weight (%),US Weight (%),Ann Return (%),Ann Vol (%),Sharpe
69.0,30.999999999999993,8.527764194461774,8.041651969107544,1.0604492991268035
70.0,29.999999999999993,8.430687052982643,7.940190673815062,1.0617738791569737
71.0,29.000000000000004,8.333609911503515,7.841528877630588,1.0627532004985252
72.0,28.000000000000004,8.236532770024384,7.745773557158474,1.06335832170208
73.0,27.0,8.139455628545255,7.653033811288351,1.063559345123946
74.0,26.0,8.042378487066125,7.5634205682717575,1.0633255700210005
75.0,25.0,7.945301345586994,7.477046243422341,1.0626256795691995
76.0,24.0,7.848224204107863,7.394024345231914,1.0614279636729682
77.0,23.0,7.751147062628734,7.314469028396707,1.0597005787483311
78.0,21.999999999999996,7.654069921149604,7.238494593128694,1.0574118447799083
79.0,20.999999999999996,7.556992779670474,7.166214931190545,1.0545305788665493
80.0,19.999999999999996,7.459915638191345,7.0977429203352775,1.051026463189929
81.0,18.999999999999993,7.362838496712215,7.033189770239893,1.0468704438869532
82.0,17.999999999999993,7.265761355233084,6.972664324569975,1.0420351557195011
83.0,16.999999999999993,7.168684213753955,6.916272325461235,1.036495365771458
84.0,16.000000000000004,7.071607072274825,6.8641156484020085,1.030228427739431
85.0,15.000000000000002,6.974529930795696,6.816291517182931,1.0232147368130997
86.0,14.000000000000002,6.877452789316567,6.772891710169955,1.0154381737699432
87.0,13.0,6.780375647837436,6.734001770570313,1.0068865258500217
88.0,12.0,6.683298506358307,6.69970023450942,0.997551871340955
89.0,10.999999999999998,6.586221364879176,6.670057891533878,0.9874309146909934
90.0,9.999999999999998,6.4891442234000465,6.645137092523178,0.9765252594564757
91.0,8.999999999999996,6.392067081920917,6.624991119867837,0.9648416075233069
92.0,7.9999999999999964,6.294989940441786,6.609663634112882,0.9523918748229417
93.0,6.999999999999995,6.197912798962657,6.599188210059416,0.9391932161466348
94.0,5.999999999999995,6.100835657483527,6.593587973580572,0.9252679545535113
95.0,4.999999999999993,6.003758516004397,6.592875348191546,0.9106434141290497
96.0,4.0000000000000036,5.906681374525268,6.597051917798094,0.8953516583050856
97.0,3.0000000000000027,5.809604233046138,6.606108409142368,0.8794291394016595
98.0,2.0000000000000018,5.712527091567009,6.620024794398113,0.8629162682896547
99.0,1.0000000000000009,5.6154499500878785,6.638770511279655,0.8458569159073813
100.0,0.0,5.518372808608748,6.66230479506253,0.8282978606290189
