ym,A_long,A_hedged_eem,A_hedged_msci,A_beta_eem,A_beta_msci,B_long,B_hedged_eem,B_hedged_msci,B_beta_eem,B_beta_msci,EEM_ret,MSCI_ret
2016-09-01,0.0131853685047556,0.003695238730528197,0.004656338072844907,0.7748309743817278,0.7793684986083748,0.0085302235128851,-0.002133066681859891,-0.0010350918580572018,0.870614810152269,0.8740624785995572,0.012248,0.01094351445707642
2016-10-01,-0.0387591453167856,-0.040216638962035846,-0.0401644399609359,0.7744387062966225,0.7789125761987665,-0.0243490290616225,-0.025985460689017338,-0.025923842698230476,0.8695173365541123,0.8728718577483375,0.001882,0.0018041750603237094
2016-11-01,-0.0438539410676704,-0.007696537221295249,-0.007541294554193792,0.7742650559192948,0.7777144636271308,-0.0288013568928842,0.011798829202298102,0.011916404163764844,0.8694016166338102,0.8720595919252837,-0.046699,-0.04669148924416355
2016-12-01,-0.02596080271388,-0.027555077781893273,-0.025450544096300615,0.7822743218907144,0.7861900767963766,0.0028852763353482,0.0011235607549204356,0.003448634697508742,0.8644335527123477,0.8680044564695103,0.002038,-0.0006490270389301056
2017-01-01,0.0714453426493123,0.029028255381972873,0.02864447973701597,0.7814928471975131,0.785900767959663,0.071693661171559,0.02477895768288698,0.02442244530711274,0.864356974200343,0.8679844826115013,0.054277,0.054460899718185685
2017-02-01,0.0369027946505488,0.012779663795147712,0.012934157016481242,0.7990702194640792,0.8029846866626107,0.0197788028858918,-0.006744347350658642,-0.006533580426231186,0.878570016779305,0.8815036211820778,0.030189,0.029849433036745365
2017-03-01,0.028057252721344,0.00811904759666775,0.009124873392730281,0.8021485808125302,0.8058050923606349,0.0316923878304182,0.00995710963410273,0.011092752816392312,0.8744479480332906,0.8767672835492435,0.024856,0.0234949859564062
2017-04-01,0.014180373507153,-0.0030438466878005797,-0.002311284855846786,0.8031811702006799,0.8067948251836665,0.014030329110515,-0.004755566564667508,-0.0039227813449521035,0.8760035288031014,0.8782910907200572,0.021445,0.020440957041643726
2017-05-01,0.0435838937592201,0.020347764504377093,0.02105753041453858,0.8014392872363332,0.804891570937695,0.0252417941073526,-9.411307656912934e-05,0.0007260448007646338,0.873862904284542,0.875974504635394,0.028993,0.027986829727187246
2017-06-01,0.0162909742670926,0.008600217873062898,0.01188425092722407,0.8064971050786183,0.8099106353327568,0.0076135127272085,-0.0007063110899557324,0.0028559305174313994,0.8724647459274574,0.8743949036481491,0.009536,0.005440999472809738
2017-07-01,0.0568101309428907,0.009423032347889812,0.012385406257414522,0.8067536959889832,0.8101120640822519,0.0717624018249741,0.020534752518112077,0.02381742436971509,0.8721381270533901,0.8743060294384937,0.058738,0.05483775227542553
2017-08-01,0.0174201204684687,-0.0003281915720326836,0.0010271135697950545,0.8097596514509253,0.8140994758068377,0.0231573117473841,0.003806611172301768,0.005319168750148401,0.8828679886432307,0.8858669402861027,0.021918,0.02013636832578336
2017-09-01,0.0150294838263928,0.01882408154393252,0.019499778916239267,0.8087377914620036,0.8131003293019978,0.0001702597268715,0.0043121006628059275,0.005040076254041616,0.8827452975137313,0.8857691365556644,-0.004692,-0.005497839477797251
2017-10-01,0.0397723675058886,0.012240349472681093,0.011745318874504647,0.8069409429704126,0.8114940858014089,0.0288471828426658,-0.0012716843017141488,-0.001748334929137691,0.8827593758427842,0.8858614422943057,0.034119,0.034537588285323384
2017-11-01,0.0056786685480432,0.0046249182690606735,0.0044357047901623335,0.8093320115073165,0.8134361884031158,-0.0084793598250056,-0.009626222024660475,-0.009828823608907584,0.8808465435137279,0.8831332931514858,0.001302,0.0015280408907316634
2017-12-01,0.0459829551772643,0.016962959037923938,0.01864769417682958,0.8093709702786324,0.8135179813244089,0.0311071581433504,-0.0005058010267507441,0.0014119947033505893,0.8816890020945795,0.8837504575655177,0.035855,0.033601299083682035
2018-01-01,0.0461789500752732,-0.02104581065504929,-0.021679796661867146,0.8134356295188037,0.8176717823761223,0.0434997784569837,-0.029236454641599165,-0.029733032872877756,0.8801257589703043,0.8824271924805303,0.082643,0.0829902024256548
2018-02-01,-0.0504133781376564,-0.01345585011343104,-0.012849194322920636,0.7913309214445615,0.793394770574569,-0.0463133719682359,-0.006499162729056582,-0.005950797944219613,0.8524978960490615,0.8524996926732432,-0.046703,-0.047346144955722536
2018-03-01,0.0113984088833558,0.027416936938941285,0.027761880672181126,0.8022501154697994,0.8045025852441858,-0.0001792324332391,0.016959494142709627,0.01728651913355417,0.8583526106049345,0.8586956649574522,-0.019967,-0.020339862281310905
2018-04-01,0.0033830978159128,0.006558614374685294,0.007781115642957889,0.7956693958337496,0.7983800175706289,0.0042420919396197,0.007651914594833447,0.008952658570661258,0.8543780143356923,0.8551175592176656,-0.003991,-0.0055086772342169965
2018-05-01,-0.0111573619523669,0.01736162401865799,0.01881228442229723,0.7955086742266357,0.7982057485830312,-0.0114033598438123,0.019209133854914878,0.02068477003320055,0.8539049846227944,0.8546290272801932,-0.03585,-0.0375462672723994
2018-06-01,-0.0309452923592168,0.0021238215958040638,0.005259753583530195,0.7901441736361671,0.7926422550985727,-0.0162436510354214,0.019206210981144625,0.022470278277012826,0.8470291029476733,0.847569597963237,-0.041852,-0.04567640156686392
2018-07-01,-0.0010818949471226,-0.018364978010989172,-0.014388739714684884,0.7917487316810926,0.7933075036679605,0.0174530937010098,-0.0008757130158224997,0.003383606192910475,0.8396539794233496,0.8387735941840798,0.021829,0.016773879871344155
2018-08-01,-0.0076041594404435,0.014182397599766014,0.015293158124184497,0.7876841910484658,0.7904735542485818,-0.0282196737672739,-0.005020007105761771,-0.003931597304959556,0.838774600004054,0.8384860834828037,-0.027659,-0.028966582678903174
2018-09-01,-0.0525534728039313,-0.048379917508600274,-0.04655015427927776,0.7846503657324733,0.7874862396637522,-0.0313896436918231,-0.02691212647885583,-0.024974079202165322,0.8417968063484242,0.8415626681365317,-0.005319,-0.007623394825561514
2018-10-01,-0.0822876659915978,-0.01359471638009134,-0.012661216459381522,0.7899645757271577,0.7931541768594925,-0.0581713878198345,0.015295554011881915,0.0159892525270139,0.844865184306225,0.844805703074963,-0.086957,-0.08778425628155095
