ym,threshold,cap_conservative_m,cap_aggregate_m,n_stocks,binding_ric,binding_adv_m,binding_weight,binding_country,binding_industry
2017-11-01,0.25,1142.4420107234362,27481.45321006444,90,AC.PS,9.796051929903532,0.04501696554333348,PHILIPPINES,RLEST
2017-12-01,0.05,266.64850416968255,8497.686035937966,90,AC.PS,9.10505913122537,0.03585361229591938,PHILIPPINES,RLEST
2017-12-01,0.1,533.2970083393651,16995.372071875932,90,AC.PS,9.10505913122537,0.03585361229591938,PHILIPPINES,RLEST
2017-12-01,0.15,799.9455125090476,25493.0581078139,90,AC.PS,9.10505913122537,0.03585361229591938,PHILIPPINES,RLEST
2017-12-01,0.2,1066.5940166787302,33990.744143751865,90,AC.PS,9.10505913122537,0.03585361229591938,PHILIPPINES,RLEST
2017-12-01,0.25,1333.2425208484126,42488.43017968983,90,AC.PS,9.10505913122537,0.03585361229591938,PHILIPPINES,RLEST
2018-01-01,0.05,151.8453320113262,7655.362123450788,90,AC.PS,5.659797519929695,0.03913710956542876,PHILIPPINES,RLEST
2018-01-01,0.1,303.6906640226524,15310.724246901576,90,AC.PS,5.659797519929695,0.03913710956542876,PHILIPPINES,RLEST
2018-01-01,0.15,455.53599603397845,22966.086370352365,90,AC.PS,5.659797519929695,0.03913710956542876,PHILIPPINES,RLEST
2018-01-01,0.2,607.3813280453048,30621.448493803153,90,AC.PS,5.659797519929695,0.03913710956542876,PHILIPPINES,RLEST
2018-01-01,0.25,759.2266600566309,38276.81061725394,90,AC.PS,5.659797519929695,0.03913710956542876,PHILIPPINES,RLEST
2018-02-01,0.05,150.49570419936126,7677.075513472711,91,AC.PS,4.740779717660942,0.03307615144250155,PHILIPPINES,RLEST
2018-02-01,0.1,300.9914083987225,15354.151026945421,91,AC.PS,4.740779717660942,0.03307615144250155,PHILIPPINES,RLEST
