Strategy,Factor,PC,Dev_Sharpe,Dev_Early_SR,Dev_Late_SR,Stability,Stock_TO,PC_TO,Total_TO,TC_Real_Sharpe,Break_Even_TC,DoF,MaxDD,PctPos,r_Performance,r_Stability,r_TC_Robustness,r_Capacity,r_Parsimony,Composite
All6EW+TO_MVO,All6EW,TO_MVO,0.5305009263314082,0.48334029514905724,0.5697001415340013,0.8484117519219717,0.1841922508619055,0.007429467950770137,0.19162171881267562,0.4549049778109543,315.7912844820544,3,-0.2134243974827582,0.559322033898305,0.775,0.825,0.8,0.425,0.2625,0.635
SF+BlackLitterman,SF,BlackLitterman,0.5556354135023843,0.33824906831638324,0.7883699649697795,0.42904864891618405,0.097070021468343,0.055644593372272386,0.15271461484061538,0.4939537871966944,405.3653430551772,3,-0.2118456483716371,0.6101694915254238,0.925,0.2375,0.9375,0.7375,0.2625,0.629375
Corr03EW+MaxSharpe,Corr03EW,MaxSharpe,0.5729789508951677,0.4678684733016143,0.6885228778129185,0.6795249488118547,0.1771969065670755,0.041309034332980776,0.2185059409000563,0.49020266431883247,311.49081284897693,3,-0.23921717247044094,0.5932203389830508,0.95,0.625,0.925,0.1875,0.2625,0.6281249999999999
Corr03ICwt+Momentum,Corr03ICwt,Momentum,0.6477220640141843,0.5005490787473378,0.8296697657298548,0.6033112202262887,0.1452648685089912,0.10819719500684381,0.253462063515835,0.5544901280295327,312.6342124380723,3,-0.21285568715945502,0.6440677966101694,1.0,0.55,1.0,0.075,0.2625,0.62375
Corr03EW+HRP,Corr03EW,HRP,0.5339654702542971,0.3804545117247437,0.7173793293313402,0.5303393841572774,0.1771969065670755,0.07426827466444115,0.2514651812315167,0.43444682003047436,241.44666459404462,1,-0.2463511631222447,0.576271186440678,0.8,0.45,0.725,0.0875,0.85,0.618125
Corr05EW+MeanCVaR,Corr05EW,MeanCVaR,0.47250082074385347,0.450783344184658,0.4900809067425502,0.9198141326927146,0.1836209882475732,0.01309129689553773,0.19671228514311093,0.3931452925924682,267.940210704807,2,-0.210515727514494,0.5932203389830508,0.6,0.9375,0.575,0.3375,0.55625,0.6143750000000001
SF+MinVariance,SF,MinVariance,0.38252963120265104,0.3898218932369477,0.3692851912398964,0.94731773060122,0.097070021468343,0.022655890409780735,0.11972591187812373,0.3345749127524069,358.96015992627986,2,-0.20472837312183034,0.5423728813559322,0.325,0.9875,0.4,0.95,0.55625,0.6125
SF+EqualWeight,SF,EqualWeight,0.4580100893837721,0.23400351614626408,0.7562148065458857,0.3094405374249508,0.097070021468343,0.0,0.097070021468343,0.41970264607070895,538.0273972823811,1,-0.22202493757551556,0.559322033898305,0.5375,0.0625,0.7,1.0,0.85,0.606875
SF+HRP,SF,HRP,0.4352563863876019,0.3316420170285733,0.5577420888242632,0.5946153673424297,0.097070021468343,0.06360169248278051,0.1606717139511235,0.37072825263191084,303.5348498005282,1,-0.2143630507291412,0.576271186440678,0.5,0.525,0.5125,0.6875,0.85,0.6056250000000001
SF+MaxSharpe,SF,MaxSharpe,0.463582409000427,0.4152002274620826,0.5103906851398244,0.8134949158571265,0.097070021468343,0.042198152536066055,0.13926817400440905,0.4093099478831663,384.37925930697594,3,-0.216314645246658,0.5932203389830508,0.575,0.7625,0.625,0.8375,0.2625,0.599375
Corr03EW+InverseVol,Corr03EW,InverseVol,0.4889843041565756,0.30865034959994314,0.7026289984270133,0.43927926443531873,0.1771969065670755,0.009710822828097909,0.18690772939517342,0.41410102318786507,293.84788436607465,1,-0.24113985627713064,0.5932203389830508,0.65,0.2875,0.6625,0.475,0.85,0.59375
All6EW+MaxSharpe,All6EW,MaxSharpe,0.5098281170263026,0.45969166377499315,0.5573806258300467,0.8247356339134037,0.1841922508619055,0.058039891614535294,0.2422321424764408,0.41006166723203696,229.95972407050928,2,-0.21575801777360515,0.559322033898305,0.6875,0.775,0.6375,0.1125,0.55625,0.5825
Corr03ICwt+MaxSharpe,Corr03ICwt,MaxSharpe,0.546821789600186,0.42315466603257157,0.6796892005998525,0.6225708245167363,0.1452648685089912,0.046828884967690824,0.19209375347668203,0.47518960108727537,343.51848020912206,4,-0.22924091427753857,0.5932203389830508,0.875,0.575,0.875,0.375,0.0875,0.5825
SF+InverseVol,SF,InverseVol,0.40541381697823886,0.2605063783429318,0.5845039814359178,0.44568794502128206,0.097070021468343,0.010032493107140498,0.10710251457548349,0.36276263352837756,427.7401068007206,1,-0.22575177461820595,0.559322033898305,0.375,0.3375,0.4625,0.975,0.85,0.5700000000000001
All6EW+Momentum,All6EW,Momentum,0.5337850647104377,0.34932388329398784,0.8023682841056432,0.43536601609740894,0.1841922508619055,0.09590932208305038,0.28010157294495586,0.4216538131702775,214.21617597273172,1,-0.22257318671404658,0.5932203389830508,0.7875,0.275,0.7125,0.025,0.85,0.568125
Corr05EW+EqualWeight,Corr05EW,EqualWeight,0.48571123947502964,0.26676869398140574,0.7571210969836062,0.3523461372879721,0.1836209882475732,0.0,0.1836209882475732,0.4124480266919142,298.3353438386694,1,-0.22206175180248966,0.6101694915254238,0.6375,0.125,0.65,0.5375,0.85,0.565
