ym,A_long,A_hedged_60m,A_hedged_36m_only,B_long,B_hedged_60m,B_hedged_36m_only,EEM_ret,A_beta_60m,A_beta_36m_only,B_beta_60m,B_beta_36m_only,A_hedged_60m_baseline,A_hedged_24m_only,A_hedged_EW_blend,A_hedged_Recency-wt,A_hedged_InvVar-wt
2016-10-01,-0.0387591453167856,-0.040216638962035846,-0.040216638962035846,-0.0243490290616225,-0.025985460689017338,-0.025985460689017338,0.001882,0.7744387062966225,0.7744387062966225,0.8695173365541123,0.8695173365541123,-0.040216638962035846,-0.04026426928287131,-0.04022854654224471,-0.04023569109037003,-0.04022973529461505
2016-11-01,-0.0438539410676704,-0.007696537221295249,-0.007696537221295249,-0.0288013568928842,0.011798829202298102,0.011798829202298102,-0.046699,0.7742650559192948,0.7742650559192948,0.8694016166338102,0.8694016166338102,-0.007696537221295249,-0.006697815342965069,-0.007446856751712708,-0.00729704846996318,-0.007405124982640066
2016-12-01,-0.02596080271388,-0.027555077781893273,-0.027555077781893273,0.0028852763353482,0.0011235607549204356,0.0011235607549204356,0.002038,0.7822743218907144,0.7822743218907144,0.8644335527123477,0.8644335527123477,-0.027555077781893273,-0.02759606228646355,-0.027565323908035844,-0.027571471583721384,-0.027567233141128532
2017-01-01,0.0714453426493123,0.029028255381972873,0.029028255381972873,0.071693661171559,0.02477895768288698,0.02477895768288698,0.054277,0.7814928471975131,0.7814928471975131,0.864356974200343,0.864356974200343,0.029028255381972873,0.028057460919195087,0.028785556766278426,0.02863993759686176,0.028738659204526534
2017-02-01,0.0369027946505488,0.012779663795147712,0.012779663795147712,0.0197788028858918,-0.006744347350658642,-0.006744347350658642,0.030189,0.7990702194640792,0.7990702194640792,0.878570016779305,0.878570016779305,0.012779663795147712,0.01218079363022687,0.012629946253917501,0.012540115729179374,0.01262287405212418
2017-03-01,0.028057252721344,0.00811904759666775,0.008365120697420514,0.0316923878304182,0.00995710963410273,0.010188520380834391,0.024856,0.8021485808125302,0.7922486330835004,0.8744479480332906,0.8651378922426702,0.00811904759666775,0.007753263441245332,0.008089119833000338,0.008046555864724612,0.008188497313318475
2017-04-01,0.014180373507153,-0.0030438466878005797,-0.0029170776558396297,0.014030329110515,-0.004755566564667508,-0.004742449555200224,0.021445,0.8031811702006799,0.797269814082193,0.8760035288031014,0.8753918706325589,-0.0030438466878005797,-0.0035096085482996427,-0.003128594894935107,-0.003192120722411918,-0.0030340158619266214
2017-05-01,0.0435838937592201,0.020347764504377093,0.020515442326676885,0.0252417941073526,-9.411307656912934e-05,-7.527512936534794e-05,0.028993,0.8014392872363332,0.7956558973732699,0.873862904284542,0.8732131630641171,0.020347764504377093,0.019945584781796744,0.020289139029306954,0.020237195962034892,0.020371373191858343
2017-06-01,0.0162909742670926,0.008600217873062898,0.008583486646953138,0.0076135127272085,-0.0007063110899557324,-0.0007631924366391729,0.009536,0.8064971050786183,0.8082516380179806,0.8724647459274574,0.878429652249127,0.008600217873062898,0.008351887327078662,0.008533952430039399,0.008495866286836275,0.008565911237528413
2017-07-01,0.0568101309428907,0.009423032347889812,0.009630928953052648,0.0717624018249741,0.020534752518112077,0.02055139205543996,0.058738,0.8067536959889832,0.8032143074302506,0.8721381270533901,0.8718548430238372,0.009423032347889812,0.007945754856417173,0.009105687126312365,0.008894490332849607,0.009305204990729059
2017-08-01,0.0174201204684687,-0.0003281915720326836,-0.00029456259975590635,0.0231573117473841,0.003806611172301768,0.003741356114891209,0.021918,0.8097596514509253,0.8082253430159961,0.8828679886432307,0.885845224586773,-0.0003281915720326836,-0.0011620097711164123,-0.0005282388787344224,-0.0006516301599831416,-0.0004222261950109253
2017-09-01,0.0150294838263928,0.01882408154393252,0.018799923501321987,0.0001702597268715,0.0043121006628059275,0.00431010064407039,-0.004692,0.8087377914620036,0.8035890185271074,0.8827452975137313,0.8823190360611444,0.01882408154393252,0.019008272108008074,0.018864089674298777,0.018890510356779584,0.018843658871080592
2017-10-01,0.0397723675058886,0.012240349472681093,0.011301389914375511,0.0288471828426658,-0.0012716843017141488,-0.0017093048574689657,0.034119,0.8069409429704126,0.834461080087725,0.8827593758427842,0.8955856766064295,0.012240349472681093,0.011381776474798124,0.011790966333633957,0.011615232406036229,0.011923555378164422
2017-11-01,0.0056786685480432,0.0046249182690606735,0.004589060495202442,-0.0084793598250056,-0.009626222024660475,-0.00964287684386336,0.001302,0.8093320115073165,0.8368725444245453,0.8808465435137279,0.8936382633316112,0.0046249182690606735,0.0046070416191053955,0.004611484663107296,0.004607010276921093,0.00461808601287839
2017-12-01,0.0459829551772643,0.016962959037923938,0.015975173742227514,0.0311071581433504,-0.0005058010267507441,-0.0009431052934542501,0.035855,0.8093709702786324,0.8369204137508517,0.8816890020945795,0.8938854674886251,0.016962959037923938,0.015974261648914138,0.016468838366747382,0.016271144493611094,0.016765883895294004
2018-01-01,0.0461789500752732,-0.02104581065504929,-0.02327790935800253,0.0434997784569837,-0.029236454641599165,-0.030731482661899644,0.082643,0.8134356295188037,0.8404445559003877,0.8801257589703043,0.89821595439279,-0.02104581065504929,-0.02466475782279838,-0.022508572122724876,-0.023163019133034896,-0.021261409032537093
