,All6EW+TO_MVO_unhedged,All6EW+TO_MVO_hedged,All6EW+Momentum_unhedged,All6EW+Momentum_hedged,All6EW+EqualWeight_unhedged,All6EW+EqualWeight_hedged,Corr05EW+Momentum_unhedged,Corr05EW+Momentum_hedged,SF+Momentum_unhedged,SF+Momentum_hedged
2019-02-01,0.0050810864774603,0.004256854437645192,0.0019752103502265,0.0011480431303772351,0.0049141434977334,0.00405476858315373,-0.0099446305873673,-0.010784935468736741,-0.0059110638012932,-0.006707164108424737
2019-03-01,0.0259898635968678,0.020235225675357925,0.0220017421489552,0.016227799209743612,0.0162936884549624,0.010266020489951313,0.0303840047138594,0.02453147998126351,0.0272382177950497,0.02168306978195073
2019-04-01,0.0192213618039838,0.0023526793080824587,-0.0025930528277075,-0.019562358520696044,0.0050388625011151,-0.01261115294946764,0.0018739740504431,-0.015335209196569955,0.0127480622202762,-0.0035552608162772743
2019-05-01,-0.0832221426082539,-0.019613251605986246,-0.0461306358646944,0.01760312196503591,-0.0597462821101636,0.0066460624040656086,-0.052117571701816,0.012601716951738458,-0.0622210999849614,-0.0007840033772728086
2019-06-01,0.0569058751500888,0.007561104131552032,0.0662935433081876,0.01829734760307237,0.0630077914895813,0.012601902913974228,0.0636314377229375,0.014682190620861714,0.0550763667760845,0.008390469718276013
2019-07-01,-0.0180799759369432,-0.0034539556776299017,-0.0208517328267416,-0.006553300481256597,-0.0167336610902572,-0.001739806488890867,-0.02572851517117,-0.011182598992990825,-0.0180191103483174,-0.004197640514198698
2019-08-01,-0.0402459792583412,0.0037521085692862333,-0.0445578726054032,-0.0015032670373203993,-0.0382454982477786,0.006777294903135715,-0.04750805584237,-0.0037091693908943985,-0.0480757573912362,-0.006540957868960445
2019-09-01,0.0215758483847857,0.006936992269324156,0.0209420720725886,0.006585377308407709,0.023065622864019,0.008088174001745732,0.0252874741571072,0.010643949100707546,0.0189346941850864,0.0050272446261472176
2019-10-01,0.0635545960419142,0.027227866030942016,0.0637810848699074,0.02880568794611725,0.0642183710057268,0.02783404021111252,0.0469474203057953,0.011333012227269484,0.0526692368888929,0.019101596703836765
2019-11-01,-0.0052383286436092,-0.003580841384736306,-0.0124730358091931,-0.010874632479141628,-0.0141510446324844,-0.012489267348398335,-0.0178389653131358,-0.016221699636735712,-0.0239327326555558,-0.02240250784811741
2019-12-01,0.0725283995031987,0.008311186776644705,0.0679161746202696,0.006003299143093041,0.0712776233952609,0.006887973403750483,0.0798572402270262,0.017198931602795064,0.079973610690766,0.020769368392516606
2020-01-01,-0.0669398510547621,-0.024742420359871592,-0.055740750584255,-0.015029542042608444,-0.0544317652623,-0.012054683909770186,-0.0524693801785635,-0.011012548205177088,-0.0534765865677662,-0.0141662428667741
2020-02-01,-0.0461562837330423,0.002519667315485752,-0.0466675054594436,0.00013321344494460208,-0.0566279680170033,-0.007994153665515237,-0.0359219853204683,0.011626303553130948,-0.0398355640970187,0.005330375812944731
2020-03-01,-0.1183138613533343,0.02340311543431245,-0.1195346855696713,0.01718966001279877,-0.1318304423201703,0.010684535381845994,-0.1224623163135851,0.015788052505795805,-0.1092827006458022,0.022435374565081767
