,BMATR,CODIS,COSTP,ENEGY,FINAN,HLTHC,INDUS,RLEST,TECNO,TELCM,UTILS
2015-09-01,0.054335544736612666,0.10026093362591354,0.1166609579377817,0.03160294242541102,0.09667786559306996,0.2069314790877621,0.032512888455102945,0.1963330854557091,0.07956269780775928,0.08512155898506736,4.588981044372917e-08
2015-10-01,0.051349028229769826,0.102420209045851,0.12134506539323663,0.00686617094252748,0.09570249836046099,0.17085788586131337,0.02435636522627684,0.2502430289148573,0.08110583860928038,0.09575384563963181,6.377679460083958e-08
2015-11-01,0.07087590184457533,0.08896532513986298,0.10370737676455663,0.038703101891721305,0.09599189572704271,0.1621395940039007,0.04557898934604382,0.23070330261660277,0.07495848896319907,0.08837597420212563,4.950036910531953e-08
2015-12-01,0.07401181560210228,0.0831363479759441,0.09215034925957688,0.06591441499585557,0.08395259973299597,0.18405321179430406,0.057720750482453995,0.19393358859059184,0.07708209179235007,0.0880447906695427,3.910428249142723e-08
2016-01-01,0.08546562493403251,0.09950097312434064,0.07720287305717916,0.048660046446407916,0.06175905136031806,0.20299387067893468,0.0501014323755455,0.22627143379866038,0.07319638949016191,0.07484826056084667,4.417357267738919e-08
2016-02-01,0.09722973853489969,0.0829156686395633,0.08475854797717404,0.08004554064083368,0.07319967974457002,0.19024421658302204,0.06678071283452958,0.17499809845170453,0.0780598418062215,0.07176791644218689,3.834529470211938e-08
2016-03-01,0.09993374548636878,0.06200493994473764,0.09871046077905027,0.07546509340790584,0.0565947990989134,0.18727683392218167,0.04951474737508269,0.1976208136703377,0.08669378661868198,0.08618472991527537,4.978146460609465e-08
2016-04-01,0.11623609492427064,0.0024450922211771,0.1085860547444849,0.08479226037701364,0.06901534770625531,0.20259682262461523,0.017436287835426723,0.2263760916415999,0.09151740083937454,0.08099847330991623,7.377586576839404e-08
2016-05-01,0.09968419677140719,0.0626112829394453,0.13566741757006728,0.10826807662344343,0.08032842769073577,0.15692518682407883,0.06637001369174705,0.0945103718393303,0.10312531020524016,0.09250967681058926,3.9033915215723364e-08
2016-06-01,0.0920491108775274,0.04180942155985671,0.1382110985204943,0.11857526657819226,0.06628014288875836,0.16239170604606137,0.05119376757015073,0.11242742580019119,0.12729803927098254,0.08976397298708433,4.7900700959457245e-08
2016-07-01,0.09809587286725141,0.025092554188156993,0.15800269779884307,0.12451291378664464,0.06128678493578696,0.1607426472581593,0.03390093996492334,0.09455543318369983,0.13506672113709134,0.10874337544273775,5.943670554080262e-08
2016-08-01,0.1227579617555589,0.04623412788337534,0.11473922139471096,0.10574238344046616,0.08018112740189848,0.12880773047229796,0.04634336638966563,0.09879518387754141,0.15448490909920498,0.10191393614238643,5.2142893819087135e-08
2016-09-01,0.08860944344977499,0.03470979543582189,0.10820501950591264,0.1207067519816938,0.07531285319342311,0.08728246236667639,7.650189653500754e-08,0.15777408808378418,0.20604439855015166,0.0649277352813626,0.05642737564950221
2016-10-01,0.1186171699664983,0.06572086784698775,0.09823026728774216,0.1255818577677482,0.09048140933208523,0.08366738567116917,5.7750240870409066e-08,0.14080588953784956,0.17360119814681868,0.05849369841652252,0.04480019827633761
2016-11-01,0.1727152529328455,0.05433675470124689,0.10289086965690022,0.16016657197925102,0.0929519356961713,0.048879566311235814,9.252550292937926e-08,0.10230057872157136,0.2351198344104345,0.018581553271405548,0.012056989793434733
2016-12-01,0.239558309496696,0.022581896041309106,0.0635452469567192,0.15262502879082115,0.11915989328853104,0.011491409939487609,7.30398773610794e-08,0.11313027822570172,0.18385173555583015,0.04790960766024357,0.04614652100478321
2017-01-01,0.20990073349233782,0.04420457955499346,0.08547752566177211,0.1955598028801234,0.11930683406301056,5.2780468748510605e-08,0.022835790383101757,0.051437598741652914,0.17328526249648493,0.06798002353386194,0.030011796412192496
2017-02-01,0.1819608227123579,0.07396899624275947,0.0704798078602007,0.1354992484625274,0.10395683935101024,3.3085070032827275e-08,0.046061729260097814,0.10065770323266973,0.14407411443078094,0.07702596062974953,0.06631474473277621
2017-03-01,0.17221823072622422,0.07286334174091963,0.0640419246045186,0.11478852522039208,0.11487280987523375,3.838905676265433e-08,0.05424997525536161,0.11122000752791612,0.16092414837828609,0.06426001699382398,0.07056098128826718
2017-04-01,0.15419729091274112,0.07947932539920188,0.06825282670397377,0.10756846626615242,0.09743394438843549,3.441439069327728e-08,0.06971348177473652,0.11604389630334369,0.15265996453942177,0.06723445593996173,0.0874163133576411
2017-05-01,0.13702126147990748,0.08130887460128702,0.06749750959549958,0.08526849462898652,0.10402174252105317,3.1368624391635954e-08,0.07325438712518276,0.11988284643447235,0.16484538145977456,0.07817938646185502,0.08872008432335715
2017-06-01,0.12532492100495876,0.10135895033671499,0.07050063161813092,0.08687711285190934,0.11193440224390906,3.071687955141575e-08,0.07454696354088207,0.14107108498495455,0.13062477929397548,0.08696693974069393,0.07079418366699146
2017-07-01,0.11677121697796769,0.10939090433375308,0.05690196014887711,0.07417791505253624,0.11432501989170528,3.390964184843067e-08,0.07610079717486178,0.15906523798040043,0.15566364473663266,0.06472708818908796,0.07287618160453604
