Factor,PC,Gross_Sharpe,Stock_TO,PC_TO,Total_TO,TC_Adj_Sharpe,TC_Drag_Ann,BreakEven_TC,Stability,DoF,r_Performance,r_Stability,r_Parsimony,r_TC_Robustness,r_LowTurnover,Composite
Corr03-EW,Momentum,0.6177979984577707,0.1771969065670755,0.0967008743812526,0.2738977809483281,0.5166967394534894,0.014790480171209716,274.98084795781244,0.6767261662180526,2,0.975,0.6125,0.51875,0.55,0.0375,0.635625
Corr03-ICwt,RiskParity,0.5479769953334437,0.1452648685089912,0.0071913192363623,0.1524561877453535,0.4874198268334218,0.008232634138249088,407.20141645982056,0.4914348892362964,3,0.9,0.4,0.24375,0.925,0.75,0.6325000000000001
Corr05-EW,MeanCVaR,0.4725008207438527,0.1836209882475732,0.0130912968955377,0.1967122851431109,0.3931452925924676,0.010622463397727988,267.94021070480625,0.9198141326927183,2,0.575,0.9375,0.51875,0.5,0.3375,0.619375
Corr03-EW,MaxSharpe,0.5729789508951687,0.1771969065670755,0.0413090343329807,0.2185059409000562,0.49020266431883325,0.011799320808603034,311.49081284897716,0.6795249488118544,3,0.925,0.625,0.24375,0.7,0.1875,0.6062500000000001
All6-ICwt,TO_MVO,0.418752508227168,0.1246892457729107,0.0129042897374385,0.1375935355103492,0.36512458697777306,0.007430050917558856,351.381564513564,0.9034006968139247,4,0.4875,0.925,0.08125,0.825,0.85,0.6024999999999999
Corr03-ICwt,Momentum,0.6477220640141836,0.1452648685089912,0.1081971950068438,0.253462063515835,0.554490128029532,0.013686951429855088,312.6342124380717,0.6033112202262882,3,1.0,0.55,0.24375,0.7125,0.075,0.600625
Corr03-ICwt,MinVariance,0.4323637397070371,0.1452648685089912,0.0201338839543409,0.1653987524633321,0.36533792540139964,0.008931532633019934,290.2817144167126,0.9276560328677991,3,0.5,0.95,0.24375,0.5875,0.65,0.589375
Corr03-ICwt,MaxSharpe,0.546821789600186,0.1452648685089912,0.0468288849676908,0.192093753476682,0.4751896010872754,0.010373062687740828,343.51848020912183,0.6225708245167345,4,0.875,0.575,0.08125,0.8,0.375,0.58
Corr03-EW,InverseVol,0.4889843041565758,0.1771969065670755,0.0097108228280979,0.18690772939517342,0.4141010231878652,0.010093017387339365,293.8478843660744,0.43927926443531906,1,0.6625,0.2875,0.80625,0.6,0.475,0.569375
Corr03-EW,HRP,0.5339654702542963,0.1771969065670755,0.0742682746644411,0.2514651812315166,0.43444682003047347,0.013579119786501895,241.44666459404417,0.5303393841572763,1,0.725,0.45,0.80625,0.35,0.0875,0.5525000000000001
Top3-EW,MeanCVaR,0.3800437618547755,0.1531772715472313,0.0214300105170235,0.1746072820642548,0.3100903145695512,0.009428793231469758,244.47643321613964,0.9389126916819249,2,0.275,0.975,0.51875,0.425,0.5875,0.5525
SF,Momentum,0.5026154580806925,0.097070021468343,0.1093232875241509,0.2063933089924939,0.4189927157053889,0.01114523868559467,270.4730193147897,0.4453001038677767,1,0.6875,0.325,0.80625,0.5125,0.2625,0.551875
All6-ICwt,EqualWeight,0.4138408230826863,0.1246892457729107,0.0,0.1246892457729107,0.3634659965773606,0.006733219271737178,369.68538316954823,0.3408621750057918,1,0.475,0.1,0.80625,0.8625,0.925,0.550625
All6-ICwt,InverseVol,0.3780148848787994,0.1246892457729107,0.0100224609428776,0.1347117067157883,0.32292839576867516,0.0072744321626525684,308.79930985508423,0.4705099751999968,1,0.375,0.35,0.80625,0.675,0.875,0.5499999999999999
Corr05-EW,BlackLitterman,0.52759793123015,0.1836209882475732,0.040030601516477,0.2236515897640502,0.4410428037510999,0.012077185847258712,274.2980987591212,0.7455136761087141,3,0.7375,0.725,0.24375,0.5375,0.175,0.549375
All6-EW,MaxSharpe,0.5098281170263028,0.1841922508619055,0.0580398916145352,0.2422321424764407,0.41006166723203713,0.013080535693727796,229.95972407050928,0.8247356339134069,2,0.6375,0.775,0.51875,0.3125,0.1125,0.546875
Corr03-EW,TO_MVO,0.5192919493698537,0.1771969065670755,0.0215933886035205,0.19879029517059602,0.44511306842190546,0.010734675939212185,315.024133864205,0.6806749246116308,4,0.7625,0.6375,0.08125,0.725,0.325,0.5456249999999999
