Strategy,Factor,PC,Dev Sharpe,Holdout Sharpe,Decay,Holdout AnnRet,Holdout MaxDD
All6ICwt+TO_MVO,All6ICwt,TO_MVO,0.4187525082271684,0.43509563231893866,0.016343124091770245,0.08112499656623749,-0.3260121971677781
Corr03ICwt+Momentum,Corr03ICwt,Momentum,0.6477220640141843,0.43494229093797265,-0.21277977307621165,0.0783778063788987,-0.2621613517845012
Top3ICwt+MinVariance,Top3ICwt,MinVariance,0.188245363335427,0.4324470120421664,0.2442016487067394,0.07818451729923975,-0.33577380085894826
Top3EW+Momentum,Top3EW,Momentum,0.41553790586993633,0.4309928660836513,0.015454960213714952,0.07538076216084513,-0.2515297715700131
All6EW+MaxSharpe,All6EW,MaxSharpe,0.5098281170263026,0.4276153775008375,-0.0822127395254651,0.07925126089356202,-0.32373686138628177
Corr05EW+EqualWeight,Corr05EW,EqualWeight,0.48571123947502964,0.4268643502155603,-0.05884688925946935,0.08042438821929991,-0.33054192678108296
Corr03ICwt+HRP,Corr03ICwt,HRP,0.5428686593543778,0.4245455873693444,-0.11832307198503339,0.0790828280711107,-0.3214484078451768
All6EW+HRP,All6EW,HRP,0.42166838224503356,0.4209784880353581,-0.0006898942096754679,0.07763313180425857,-0.3503991088612606
Top3ICwt+HRP,Top3ICwt,HRP,0.23975714976762866,0.4206355196882869,0.18087836992065823,0.07712987453605077,-0.3122196891630179
Corr05EW+RiskParity,Corr05EW,RiskParity,0.4753490967958411,0.42014733051100006,-0.055201766284841025,0.07832269710694471,-0.3332875475553069
Corr03ICwt+EqualWeight,Corr03ICwt,EqualWeight,0.5870687377256376,0.4198910641437811,-0.16717767358185653,0.07930904439028508,-0.29889229552048113
SF+TO_MVO,SF,TO_MVO,0.5476542586327179,0.41943762079041763,-0.12821663784230025,0.07991561552033001,-0.3227162269079118
All6ICwt+BlackLitterman,All6ICwt,BlackLitterman,0.37909954312956884,0.4184740803251311,0.039374537195562276,0.07574603962357075,-0.3304625142704064
Corr05EW+MaxSharpe,Corr05EW,MaxSharpe,0.5533986850535613,0.4141476510636726,-0.1392510339898887,0.0782851142112975,-0.33444329504618964
Corr03ICwt+RiskParity,Corr03ICwt,RiskParity,0.5479769953334442,0.41151734338048496,-0.13645965195295928,0.07687251424566868,-0.30648084896727523
Corr05EW+InverseVol,Corr05EW,InverseVol,0.46147670129899493,0.4102945775584799,-0.051182123740515006,0.07476189117793672,-0.3282930005383611
Corr03ICwt+InverseVol,Corr03ICwt,InverseVol,0.5169462385621065,0.40973270693609065,-0.10721353162601588,0.0752121878091697,-0.3058846342153483
All6EW+EqualWeight,All6EW,EqualWeight,0.45912392390044426,0.4072165856158115,-0.05190733828463279,0.0759997896222731,-0.33474032146345956
SF+EqualWeight,SF,EqualWeight,0.4580100893837721,0.4063048845472794,-0.05170520483649266,0.07602260945508259,-0.28944315823822053
Corr05EW+HRP,Corr05EW,HRP,0.4744311803553842,0.3979303182816578,-0.07650086207372636,0.07318848378550248,-0.34491312311881617
All6EW+RiskParity,All6EW,RiskParity,0.4272841745647513,0.39599070729540137,-0.03129346726934995,0.07319709868231683,-0.3394920666353415
All6ICwt+MaxSharpe,All6ICwt,MaxSharpe,0.3705775853000806,0.3921849791560349,0.021607393855954282,0.07229967810008538,-0.33866891706418256
All6ICwt+MinVariance,All6ICwt,MinVariance,0.2565686062752117,0.3905368058671561,0.1339681995919444,0.06915943390012207,-0.33528801071702685
All6EW+InverseVol,All6EW,InverseVol,0.4184966734311189,0.38891710841716587,-0.029579565013953035,0.07068430797420684,-0.3423967486709626
Corr03EW+Momentum,Corr03EW,Momentum,0.6177979984577711,0.3888432032372884,-0.22895479522048268,0.06845417007503074,-0.23428087982957968
Top3EW+RiskParity,Top3EW,RiskParity,0.30173812174596226,0.3836009675331137,0.08186284578715142,0.06884140664365278,-0.3165220522431338
Top3EW+EqualWeight,Top3EW,EqualWeight,0.31600720357548245,0.38129734886340855,0.0652901452879261,0.06893004424304319,-0.32120141840372907
SF+RiskParity,SF,RiskParity,0.44195149381968835,0.3783763049016118,-0.06357518891807656,0.07013418600834212,-0.29187891286614376
Corr03ICwt+MinVariance,Corr03ICwt,MinVariance,0.4323637397070377,0.3782862432864848,-0.05407749642055287,0.06722220298281281,-0.3210601908103895
Top3ICwt+BlackLitterman,Top3ICwt,BlackLitterman,0.26352651608981154,0.37687628113310173,0.1133497650432902,0.06733519693244419,-0.3495832325451046
Top3EW+InverseVol,Top3EW,InverseVol,0.2714220417222268,0.37527223188772996,0.10385019016550318,0.06677785815087388,-0.32048285375270036
Top3EW+MinVariance,Top3EW,MinVariance,0.19643833367413496,0.3711598159613308,0.17472148228719583,0.065037318376892,-0.3416533799549133
Top3EW+MaxSharpe,Top3EW,MaxSharpe,0.35102151661122205,0.37046375198940823,0.01944223537818618,0.06574868992765019,-0.34665648761750745
SF+InverseVol,SF,InverseVol,0.40541381697823886,0.3612653657086656,-0.044148451269573286,0.06526583076897118,-0.2874185209186394
Corr03ICwt+BlackLitterman,Corr03ICwt,BlackLitterman,0.5446910776470956,0.3538635761286358,-0.19082750151845979,0.06586437671356245,-0.3398157493000351
Top3EW+BlackLitterman,Top3EW,BlackLitterman,0.31722737213106195,0.3524875561486814,0.035260184017619434,0.061646822140495064,-0.3468027436525525
SF+MinVariance,SF,MinVariance,0.38252963120265104,0.35151948214945816,-0.03101014905319288,0.06429411001338975,-0.288830185338424
Top3EW+HRP,Top3EW,HRP,0.2991214007091243,0.34432605658577287,0.04520465587664857,0.061698795181474524,-0.32754173697451916
