ym,threshold,cap_conservative,cap_10th_pctile,cap_median,binding_stock,binding_country,n_stocks
2019-09-01,0.25,7.578834238312728,21.132479282781237,69.77426411590716,KLBF.JK,INDONESIA,94
2019-10-01,0.05,0.6920019696315513,3.123118593358535,14.187265404785604,KLBF.JK,INDONESIA,94
2019-10-01,0.1,1.3840039392631025,6.24623718671707,28.37453080957121,KLBF.JK,INDONESIA,94
2019-10-01,0.15,2.076005908894654,9.369355780075603,42.56179621435681,KLBF.JK,INDONESIA,94
2019-10-01,0.2,2.768007878526205,12.49247437343414,56.74906161914242,KLBF.JK,INDONESIA,94
2019-10-01,0.25,3.460009848157757,15.61559296679267,70.93632702392802,KLBF.JK,INDONESIA,94
2019-11-01,0.05,0.6577658171221623,3.7257807574631014,12.940556527375358,KLBF.JK,INDONESIA,93
2019-11-01,0.1,1.3155316342443246,7.451561514926203,25.881113054750717,KLBF.JK,INDONESIA,93
2019-11-01,0.15,1.973297451366487,11.177342272389302,38.821669582126084,KLBF.JK,INDONESIA,93
2019-11-01,0.2,2.6310632684886492,14.903123029852406,51.762226109501434,KLBF.JK,INDONESIA,93
2019-11-01,0.25,3.2888290856108116,18.628903787315508,64.70278263687679,KLBF.JK,INDONESIA,93
2019-12-01,0.05,0.6167879901119234,4.019603128862946,14.807623531914114,KLBF.JK,INDONESIA,94
2019-12-01,0.1,1.2335759802238468,8.039206257725892,29.615247063828228,KLBF.JK,INDONESIA,94
2019-12-01,0.15,1.8503639703357702,12.058809386588837,44.42287059574234,KLBF.JK,INDONESIA,94
2019-12-01,0.2,2.4671519604476937,16.078412515451785,59.230494127656456,KLBF.JK,INDONESIA,94
2019-12-01,0.25,3.0839399505596172,20.098015644314728,74.03811765957057,KLBF.JK,INDONESIA,94
2020-01-01,0.05,0.5358240032246168,4.080474848933393,18.5917782129238,ISA.CN,COLOMBIA,97
2020-01-01,0.1,1.0716480064492335,8.160949697866785,37.1835564258476,ISA.CN,COLOMBIA,97
2020-01-01,0.15,1.6074720096738502,12.241424546800175,55.7753346387714,ISA.CN,COLOMBIA,97
2020-01-01,0.2,2.143296012898467,16.32189939573357,74.3671128516952,ISA.CN,COLOMBIA,97
2020-01-01,0.25,2.6791200161230835,20.40237424466696,92.958891064619,ISA.CN,COLOMBIA,97
2020-02-01,0.05,0.5131344408423839,4.519071158340027,19.262356414020232,ISA.CN,COLOMBIA,96
2020-02-01,0.1,1.0262688816847678,9.038142316680053,38.524712828040464,ISA.CN,COLOMBIA,96
2020-02-01,0.15,1.5394033225271515,13.55721347502008,57.78706924206069,ISA.CN,COLOMBIA,96
2020-02-01,0.2,2.0525377633695356,18.076284633360107,77.04942565608093,ISA.CN,COLOMBIA,96
2020-02-01,0.25,2.565672204211919,22.595355791700133,96.31178207010115,ISA.CN,COLOMBIA,96
2020-03-01,0.05,0.6450357439430565,4.622845813207075,21.821801781067297,ISA.CN,COLOMBIA,99
2020-03-01,0.1,1.290071487886113,9.24569162641415,43.643603562134594,ISA.CN,COLOMBIA,99
2020-03-01,0.15,1.9351072318291695,13.868537439621225,65.4654053432019,ISA.CN,COLOMBIA,99
2020-03-01,0.2,2.580142975772226,18.4913832528283,87.28720712426919,ISA.CN,COLOMBIA,99
2020-03-01,0.25,3.225178719715282,23.114229066035378,109.1090089053365,ISA.CN,COLOMBIA,99
2020-04-01,0.05,0.9312168784188793,6.362993881387277,31.62825567461974,ISA.CN,COLOMBIA,99
2020-04-01,0.1,1.8624337568377587,12.725987762774555,63.25651134923948,ISA.CN,COLOMBIA,99
2020-04-01,0.15,2.7936506352566375,19.088981644161827,94.8847670238592,ISA.CN,COLOMBIA,99
2020-04-01,0.2,3.7248675136755174,25.45197552554911,126.51302269847896,ISA.CN,COLOMBIA,99
2020-04-01,0.25,4.656084392094396,31.814969406936385,158.14127837309871,ISA.CN,COLOMBIA,99
2020-05-01,0.05,0.327455034714969,4.383612135082784,20.968850482436526,ISA.CN,COLOMBIA,99
2020-05-01,0.1,0.654910069429938,8.767224270165569,41.93770096487305,ISA.CN,COLOMBIA,99
2020-05-01,0.15,0.9823651041449069,13.150836405248352,62.906551447309575,ISA.CN,COLOMBIA,99
2020-05-01,0.2,1.309820138859876,17.534448540331137,83.8754019297461,ISA.CN,COLOMBIA,99
2020-05-01,0.25,1.6372751735748445,21.91806067541392,104.84425241218263,ISA.CN,COLOMBIA,99
2020-06-01,0.05,0.768329230176809,6.205864904709125,28.60716870414596,ISA.CN,COLOMBIA,101
