ym,SF+EW,SF+Momentum,Comp+EW,Comp+Momentum,SF+IndustryEW,Comp+IndustryEW
2016-12-01,,,,,0.8541487744611024,0.8568846374252511
2017-01-01,,,,,0.8547105967438957,0.8571912494502087
2017-02-01,,,,,0.8596693801339165,0.8760178211636116
2017-03-01,,,,,0.8545481913893894,0.8701572920590743
2017-04-01,,,,,0.8549455957088476,0.8704635650708803
2017-05-01,,,,,0.8524415397451137,0.8668367560191259
2017-06-01,,,,,0.8785364535792317,0.8890805242913776
2017-07-01,,,,,0.87386772145668,0.8843417787148085
2017-08-01,,,,,0.879662322196373,0.8853841142251886
2017-09-01,,,,,0.8800787905225519,0.8863143509190172
2017-10-01,,,,,0.8785783199025365,0.8881455617587153
2017-11-01,,,,,0.8768716274205375,0.8868138558609229
2017-12-01,,,,,0.8767639368066922,0.886171191456011
2018-01-01,,,,,0.8815697849175416,0.892273090013729
2018-02-01,,,,,0.8679724940437196,0.8768242444531162
2018-03-01,,,,,0.8751638628059712,0.8831881320932713
2018-04-01,,,,,0.8716471875354914,0.8792291251806826
2018-05-01,,,,,0.8717908372328564,0.8792200807683705
2018-06-01,,,,,0.8632142965925796,0.8717846044612874
2018-07-01,,,,,0.8593786116006905,0.8682923998012783
2018-08-01,,,,,0.8587052622005092,0.8674735751508111
2018-09-01,,,,,0.8536931277394142,0.8644660201147492
2018-10-01,,,,,0.845719875917367,0.8565605059297373
2018-11-01,,,,,0.8555210178995315,0.8705823585623562
2018-12-01,,,,,0.8560657202031186,0.8688210268808505
2019-01-01,,,,,0.8578142523565642,0.87087668805174
2019-02-01,0.8408095713351548,0.8061855184899223,0.8515743060003084,0.851003524031648,0.840809571335156,0.851574306000309
2019-03-01,0.836908728818734,0.798165072349883,0.8475429828931501,0.8421128365893434,0.8369087288187347,0.8475429828931506
2019-04-01,0.8379463578387375,0.8032500999779293,0.8518524860096554,0.8501758132883842,0.8379463578387387,0.8518524860096557
2019-05-01,0.8363705463379467,0.8005887691771348,0.8503184593037494,0.8474541324038419,0.8363705463379474,0.8503184593037504
2019-06-01,0.8432766246254123,0.8056636671714393,0.8567316517001832,0.8518476931366594,0.8432766246254132,0.8567316517001836
2019-07-01,0.8410027200213457,0.8042874148350716,0.855186812831901,0.8472093603275866,0.8410027200213467,0.8551868128319021
2019-08-01,0.8400348152008192,0.8047954787881255,0.8540637424148838,0.8479272523183966,0.8400348152008199,0.8540637424148846
2019-09-01,0.8396385730298153,0.8078578424543921,0.8545652243304115,0.8487332551990818,0.8396385730298159,0.8545652243304118
2019-10-01,0.8418262062315008,0.8067161236469564,0.8556059972068334,0.8501503891867886,0.8418262062315016,0.8556059972068337
2019-11-01,0.8576913630682969,0.8153416326793222,0.8646430200235429,0.857382448765331,0.8576913630682976,0.8646430200235441
2019-12-01,0.8561526986943147,0.8140999385054071,0.8643478030820325,0.8581059426348411,0.8561526986943151,0.8643478030820335
2020-01-01,0.8645610387248628,0.8264785806476723,0.8704514606189259,0.8689528546426994,0.8645610387248636,0.8704514606189264
2020-02-01,0.8704637134850445,0.832603515588319,0.8733737806421162,0.8714358304290042,0.8704637134850453,0.8733737806421171
2020-03-01,0.8748352653003976,0.8330550880457664,0.8771137330699397,0.8721442160588758,0.874835265300398,0.8771137330699404
2020-04-01,0.8767983665823309,0.8207029936577058,0.8800485136101106,0.8653865386726772,0.8767983665823316,0.8800485136101109
2020-05-01,0.8812702074881836,0.8271237482038851,0.8829604416783099,0.8590883547918561,0.881270207488184,0.8829604416783106
2020-06-01,0.8825287555590628,0.8263124892204141,0.8831762635658679,0.8567857046891095,0.8825287555590635,0.8831762635658682
2020-07-01,0.885552211475271,0.8458835950759251,0.8892049886695906,0.8722412536034316,0.8855522114752716,0.8892049886695912
2020-08-01,0.8898396342573316,0.8550299657776957,0.8834385742892814,0.8761943746803011,0.8898396342573321,0.8834385742892816
2020-09-01,0.8873981808681382,0.8473789472428241,0.8817299900580678,0.8719929041279547,0.8873981808681388,0.8817299900580687
2020-10-01,0.8887430406875153,0.8496234384462529,0.8852041835559229,0.8735047797754454,0.888743040687516,0.8852041835559238
2020-11-01,0.8860798706777628,0.847472202022396,0.8833703583662098,0.8681339701604243,0.8860798706777633,0.8833703583662104
2020-12-01,0.9138391198238518,0.8665235060358313,0.9057214951625615,0.881296067513302,0.9138391198238524,0.9057214951625618
2021-01-01,0.9305626262282775,0.8921432676205925,0.9214267239595448,0.9047787607425576,0.9305626262282781,0.9214267239595457
2021-02-01,0.9306677744090499,0.8903554900238878,0.9142872704076944,0.8981381968671169,0.9306677744090507,0.9142872704076953
2021-03-01,0.9302988022879514,0.8897247269243288,0.9138354411073077,0.8979438621194372,0.9302988022879521,0.9138354411073084
2021-04-01,0.9408359915802456,0.9008966000681454,0.921603886512049,0.9073753068949203,0.9408359915802462,0.9216038865120498
2021-05-01,0.94264761900998,0.9055903071659605,0.9227892524635304,0.9101291160150586,0.9426476190099807,0.9227892524635312
2021-06-01,0.9434252426591487,0.9033774132226684,0.9265432334069611,0.9123074496516562,0.9434252426591495,0.9265432334069617
2021-07-01,0.942258677825211,0.9027986267040328,0.9260933118350461,0.913109450326935,0.942258677825212,0.9260933118350467
2021-08-01,0.9442651511560427,0.8999684653632314,0.9315670793415934,0.9061514708379594,0.9442651511560438,0.931567079341594
2021-09-01,0.9441876410006431,0.9012823500693987,0.93095668192614,0.9069325862025761,0.9441876410006441,0.9309566819261406
2021-10-01,0.9368536110231096,0.8924928690112732,0.9291332359261866,0.9074796479354881,0.9368536110231104,0.9291332359261871
2021-11-01,0.9355776256945485,0.8911084159998303,0.9279611307864098,0.9060442962894879,0.9355776256945489,0.9279611307864104
2021-12-01,0.9313290621711003,0.8957666945255577,0.9237275698053216,0.9088788659596656,0.9313290621711005,0.9237275698053221
2022-01-01,0.9311965713474262,0.8972643181101485,0.9244795742248115,0.9107163255661744,0.931196571347427,0.9244795742248121
2022-02-01,0.9327822458000156,0.895886020998586,0.9218637058163159,0.905576377990028,0.9327822458000161,0.9218637058163167
2022-03-01,0.9338871125967242,0.8975617068653485,0.9211466318419267,0.9077940902810759,0.9338871125967251,0.9211466318419278
2022-04-01,0.9307374435845615,0.8871925865850125,0.9188419720953062,0.8943836608405915,0.930737443584562,0.9188419720953068
2022-05-01,0.9253236755368561,0.885800289654017,0.916615132364993,0.8926267078950786,0.9253236755368569,0.9166151323649937
2022-06-01,0.9233745008365511,0.8836917934190056,0.9173858203706338,0.8922445269096865,0.9233745008365516,0.9173858203706349
2022-07-01,0.9041346082344883,0.878968361152234,0.9006511505344946,0.8907718399004534,0.9041346082344889,0.9006511505344952
2022-08-01,0.9035464666269506,0.8668176602300622,0.90212336969573,0.880182431478485,0.9035464666269512,0.9021233696957304
2022-09-01,0.9038067237523457,0.8669818951760292,0.9020128274195345,0.8798509695368556,0.9038067237523463,0.9020128274195351
2022-10-01,0.9189696296480784,0.8893734894537187,0.9048346371251971,0.8930217154096671,0.918969629648079,0.904834637125198
2022-11-01,0.9260282625543688,0.8867090314926438,0.9116624709134636,0.8929170009329969,0.9260282625543694,0.9116624709134643
2022-12-01,0.9856108443275041,0.8661498268535791,0.9290292664029175,0.8703260427982934,0.9856108443275046,0.9290292664029182
2023-01-01,0.9847985267047805,0.864976690492433,0.9283677534764221,0.8700000905307337,0.984798526704781,0.928367753476423
2023-02-01,0.9835622849788603,0.8539739342423133,0.9229547188708994,0.8590800339845972,0.9835622849788608,0.9229547188709002
2023-03-01,0.993494365936563,0.8704668798299087,0.9333256575929623,0.8714566944461375,0.9934943659365634,0.9333256575929626
2023-04-01,0.9975801888202562,0.8706269351296868,0.9371524552801067,0.8749214609686965,0.9975801888202563,0.9371524552801075
2023-05-01,0.9961687264878197,0.8701282768866555,0.9361572269058239,0.8742411044733005,0.9961687264878202,0.9361572269058247
2023-06-01,1.0044991703701294,0.8795588853344479,0.9435136328152284,0.8812407114127424,1.00449917037013,0.9435136328152294
2023-07-01,1.008905803563375,0.8853239753849661,0.9490581193474916,0.8871340898298409,1.0089058035633758,0.9490581193474921
2023-08-01,1.0063106622034774,0.8854618961993459,0.9496232078100212,0.8886465176854705,1.0063106622034779,0.949623207810022
2023-09-01,1.0090530581380799,0.8925165904752599,0.9519329773467147,0.8897013942831488,1.0090530581380805,0.9519329773467154
2023-10-01,1.0056687877106825,0.8891503976133028,0.9497042847816132,0.8880558811636355,1.005668787710683,0.9497042847816136
2023-11-01,1.0064065013346755,0.8996369684797709,0.9488608737582399,0.8931616176085442,1.0064065013346757,0.9488608737582408
2023-12-01,1.0026187631301593,0.9005071875635907,0.9478048208160652,0.8938447158147343,1.0026187631301597,0.9478048208160661
2024-01-01,1.0036082199765999,0.9032337941491425,0.9483764600918798,0.8962155016845806,1.0036082199766003,0.9483764600918808
2024-02-01,1.0197510177877471,0.915413385761045,0.9642927631008663,0.9088128854335401,1.0197510177877471,0.9642927631008675
2024-03-01,1.0171134183502684,0.9135501735000375,0.9641569375002895,0.9070113061038626,1.0171134183502686,0.9641569375002905
2024-04-01,1.0169444283668847,0.9125658997639773,0.9625216032032129,0.9039095096427263,1.0169444283668856,0.9625216032032137
2024-05-01,1.018633464370597,0.914958293701799,0.9637292965633292,0.9060710554804403,1.0186334643705972,0.96372929656333
2024-06-01,1.0198180229965013,0.9155160338575797,0.9644677083982103,0.9063356519627951,1.0198180229965017,0.9644677083982112
2024-07-01,1.0175464137494998,0.9119051094965609,0.9613940369702114,0.9032567179493604,1.0175464137495003,0.9613940369702125
2024-08-01,1.016110199800102,0.9106428523989092,0.9606608720995116,0.9027518435732265,1.0161101998001025,0.9606608720995123
2024-09-01,1.0185003161001234,0.9098476240620694,0.9633412816671264,0.9027887406533204,1.018500316100124,0.9633412816671272
2024-10-01,1.0223768895510708,0.9038702552286293,0.9677869636888045,0.8957016136246675,1.0223768895510712,0.9677869636888049
2024-11-01,1.0193896622650847,0.9036298142614161,0.968074279951699,0.8969881211855576,1.0193896622650849,0.9680742799516997
2024-12-01,1.0217079800725688,0.9070958150742179,0.9696300255735414,0.8996014567650072,1.02170798007257,0.9696300255735417
2025-01-01,1.0209124487857664,0.903475375085944,0.9698255961677494,0.8973749988237806,1.0209124487857673,0.9698255961677502
2025-02-01,1.0175876695984414,0.8991749632497547,0.9686360009884705,0.8944151034427635,1.0175876695984423,0.9686360009884708
2025-03-01,1.0172360235775526,0.8998656943546763,0.9668575901339015,0.8949840302590475,1.0172360235775528,0.9668575901339018
