factor,industry,avg_ic,std_ic,ir,t_stat,pct_positive,n_months
Value (P/B),TELCM,0.02483763211183061,0.20019759292180253,0.12406558814886563,1.9811685671579302,0.5607843137254902,255
Value (P/B),UTILS,0.03483841800515631,0.25668830240694485,0.13572265537026565,2.1673170029076863,0.5568627450980392,255
Quality (ROE),BMATR,0.027292352447879503,0.16660842928637218,0.16381135435211677,2.61585755589674,0.5647058823529412,255
Quality (ROE),CODIS,0.009432962320366892,0.1550017661088123,0.0608571280003667,0.9718104019074499,0.5647058823529412,255
Quality (ROE),COSTP,0.0035220927067015407,0.16564327047883337,0.021263119814768503,0.33954479437268104,0.49019607843137253,255
Quality (ROE),ENEGY,0.013928975836266833,0.1991183447759118,0.06995325243358431,1.117063860815207,0.5058823529411764,255
Quality (ROE),FINAN,0.014016062798121428,0.1047906398177642,0.13375300334548976,2.1358641823637434,0.5803921568627451,255
Quality (ROE),HLTHC,0.0030431800962718654,0.21958215603262463,0.013858958994007336,0.16803094782344052,0.4965986394557823,147
Quality (ROE),INDUS,0.005321412895101929,0.16461084484017488,0.03232723153974839,0.5162244901699726,0.4666666666666667,255
Quality (ROE),RLEST,-0.013573416435830252,0.24977246199390987,-0.05434312624968724,-0.8042048284853112,0.4611872146118721,219
Quality (ROE),TECNO,0.021005423929283007,0.20179638394726113,0.10409217211133333,1.6622186905422935,0.5882352941176471,255
Quality (ROE),TELCM,0.0043604147562588316,0.20148715880410248,0.02164115461322416,0.3455815260012255,0.5137254901960784,255
Quality (ROE),UTILS,0.042110527859432915,0.247664444369719,0.17003057490387835,2.7151705439155314,0.5568627450980392,255
Momentum,BMATR,0.016962725249061988,0.1871727649379213,0.09062603341190122,1.4185217986812484,0.5428571428571428,245
Momentum,CODIS,0.015531164037915553,0.18296892874800952,0.08488416117528651,1.3286472822069235,0.5306122448979592,245
Momentum,COSTP,0.020754408171606748,0.1659324871311826,0.12507742474322564,1.957771369235267,0.563265306122449,245
Momentum,ENEGY,0.02455282103301918,0.19507178791525523,0.12586556618677033,1.9701077341408222,0.5387755102040817,245
Momentum,FINAN,-0.004576484457935064,0.11551486475167384,-0.03961814323873629,-0.6201220299689661,0.49387755102040815,245
Momentum,HLTHC,0.016689974257196524,0.23424801015969898,0.07124916128772281,0.8638501714290384,0.5714285714285714,147
Momentum,INDUS,0.02719242914807571,0.17915431674091836,0.15178215988733154,2.3757665909587065,0.5428571428571428,245
Momentum,RLEST,0.028535526026713994,0.25914314894952056,0.11011491579996403,1.6295519431051175,0.5342465753424658,219
Momentum,TECNO,0.03756145550565328,0.21192124535821744,0.1772425197018917,2.774284257897429,0.5673469387755102,245
Momentum,TELCM,-0.017663031905310655,0.21238314234879427,-0.08316588458938455,-1.3017519994553624,0.5142857142857142,245
Momentum,UTILS,0.01934054549390189,0.25312765002061227,0.07640629339515846,1.1959476615825726,0.5142857142857142,245
Volatility,BMATR,-0.0033041814555959197,0.19634390781301259,-0.01682854075993356,-0.262870210032506,0.4918032786885246,244
Volatility,CODIS,-0.011418366215660959,0.1825901770729953,-0.06253549012713955,-0.9768355829963109,0.46311475409836067,244
Volatility,COSTP,0.007178447937624761,0.18236638196918706,0.03936278090354199,0.6148662935893469,0.48770491803278687,244
Volatility,ENEGY,-0.02083803320863369,0.2333235539765005,-0.08930959971033366,-1.395060544385973,0.4713114754098361,244
Volatility,FINAN,-0.005393840056410029,0.1431409251660086,-0.037682025948585204,-0.5886120619048874,0.48360655737704916,244
Volatility,HLTHC,-0.03290959634977472,0.22770940488055755,-0.1445245371706851,-1.7522668892400233,0.47619047619047616,147
Volatility,INDUS,-0.0029110181589821846,0.18848729384856602,-0.015444108191828291,-0.24124468199978844,0.47540983606557374,244
Volatility,RLEST,-0.017689708857199084,0.25906969672482444,-0.06828165964925079,-1.0104762860829002,0.4748858447488584,219
Volatility,TECNO,-0.020687675969302162,0.2545897083549191,-0.0812588855338246,-1.269304368810179,0.47950819672131145,244
Volatility,TELCM,-0.015202552857993785,0.23815097323183923,-0.06383577884098818,-0.9971467420081536,0.5081967213114754,244
Volatility,UTILS,-0.02275395082048357,0.2517780706946483,-0.09037304463294236,-1.4116720851102713,0.45901639344262296,244
Dividend Yield,BMATR,0.0065700717314068615,0.17644707207729915,0.037235368397207515,0.5946011505348092,0.5176470588235295,255
Dividend Yield,CODIS,-0.0032308253820773555,0.1572782122220342,-0.020542103934372714,-0.3280310940793504,0.4980392156862745,255
Dividend Yield,COSTP,-0.02066761442814513,0.1716454364162562,-0.1204087615707081,-1.9227737295539655,0.4588235294117647,255
Dividend Yield,ENEGY,0.0023733278121167703,0.19943571950649672,0.011900214354728256,0.19003118410030104,0.47843137254901963,255
Dividend Yield,FINAN,-0.011258200949327798,0.10034758984833075,-0.11219204134692104,-1.7915632297257207,0.47058823529411764,255
Dividend Yield,HLTHC,-0.03511777508484579,0.21846746453165752,-0.16074601845235845,-1.9489418975172237,0.42857142857142855,147
Dividend Yield,INDUS,-0.018059882245353702,0.1616788914304378,-0.11170216523363503,-1.783740535520788,0.44313725490196076,255
Dividend Yield,RLEST,-0.05600243773082387,0.25275398653273634,-0.22156895920441005,-3.2789211650420462,0.4246575342465753,219
Dividend Yield,TECNO,-0.007741497099865196,0.19576002528517591,-0.03954585257428155,-0.6314966240890261,0.5058823529411764,255
Dividend Yield,TELCM,-0.0260415351482438,0.2218199905584204,-0.11739940608006329,-1.874718176080783,0.4470588235294118,255
Dividend Yield,UTILS,-0.018684952817466172,0.24658551105131807,-0.07577473930971378,-1.2100255513628817,0.4588235294117647,255
