ym,MSCI EM,Single-Factor (Raw),Single-Factor (Resid)
2012-02-01,0.05890777818106918,0.06423953400192355,0.06942818383943677
2012-03-01,-0.03519417475728159,-0.025605272957553292,-0.030601262156161314
2012-04-01,-0.014815881703394318,-0.011811625544152089,-0.009481130388546708
2012-05-01,-0.11668388530438001,-0.07562798303825596,-0.07415658163291494
2012-06-01,0.03426017874875886,0.04962350253533971,0.053269077615756104
2012-07-01,0.016151917640155666,0.005291117353607864,0.005505030978864746
2012-08-01,-0.005417379710023207,0.005031516107387991,-0.003309701798498828
2012-09-01,0.05840625758711315,0.05837295837076381,0.06479115835244108
2012-10-01,-0.00731055392655533,-0.0008247249907831274,-6.116045153927138e-06
2012-11-01,0.01174484844222512,0.016319988606820445,0.011389891400292063
2012-12-01,0.047844134178069986,0.04182217420919306,0.042575573331604576
2013-01-01,0.013087566338134904,-0.005292969684786753,-0.004688934141223799
2013-02-01,-0.01346105274974052,0.006777815631408673,0.003466337316987274
2013-03-01,-0.018698678196885865,0.0017063206931842087,0.002729894246671382
2013-04-01,0.004396560054111376,0.004437069052886663,0.02839367754532015
2013-05-01,-0.029409784020395402,-0.023987517348599816,-0.02628355089280724
2013-06-01,-0.06794663389104749,-0.05397246843635303,-0.053421758748680354
2013-07-01,0.0076781555411398195,0.02810182578488426,0.024480730149318484
2013-08-01,-0.019006912563980793,-0.027721538380292943,-0.029214839485883493
2013-09-01,0.06231039008541872,0.07661923804760314,0.07518666677111457
2013-10-01,0.04755635671318337,0.045986200103512224,0.046660408417400205
2013-11-01,-0.015602946578759158,-0.014109116368302234,-0.01776091675700851
2013-12-01,-0.015310130808814826,-0.005835414242579219,-0.0005261485422492274
2014-01-01,-0.06598250705601938,-0.059821411404913524,-0.059821411404913524
2014-02-01,0.03191568876597661,0.04569521995819239,0.04426325227906607
2014-03-01,0.029210902092257962,0.022959234115443636,0.020053216161137498
2014-04-01,0.0006333886291660651,0.0078083238321993076,0.010093187934958418
2014-05-01,0.03256370066714909,0.024288653692825582,0.025108204527204244
2014-06-01,0.022467864823049633,0.036152544546382864,0.03539897607523038
2014-07-01,0.014265593178400815,0.03533702339622322,0.03633475481004584
2014-08-01,0.02074556423993923,0.024624299263585267,0.028815101728807125
2014-09-01,-0.07588153105121898,-0.059965395956556596,-0.0565588779699118
2014-10-01,0.010683059293963293,0.005104925263068727,0.007575882304220218
2014-11-01,-0.011170490222130347,-0.025792837479489805,-0.02430901266521255
2014-12-01,-0.048182578230750894,-0.0395229236829393,-0.038141511376429175
2015-01-01,0.005542135918269242,0.015218897466307174,0.015218897466307174
