ric,name,country,industry,total_contribution,avg_weight,months_held,avg_monthly_return,total_return
300750.SZ,CONTEMPORARY AMPEREX TECHNOLOGY 'A',CHINA,INDUS,0.00319353568556296,0.01782267115600449,27,0.012093764722462277,0.09063559222219397
OTPB.BU,OTP BANK,HUNGARY,FINAN,0.0030949347211840757,0.0029100787224651285,88,0.01214683937004012,0.9992343970444322
1211.SE,SAUDI ARABIAN MINING,SAUDI ARABIA,BMATR,0.0029790786269894326,0.015548076423486773,22,0.012506787004190128,0.0921391909059448
DABU.NS,DABUR INDIA,INDIA,COSTP,0.002977002017354136,0.007566946273527158,89,0.0031944438113403924,0.12227988925703404
AXBK.NS,AXIS BANK,INDIA,FINAN,0.0029767567549858756,0.002768605421209869,98,0.011363733954304648,0.8998800504178632
3711.TW,ASE TECHNOLOGY HOLDING,TAIWAN,TECNO,0.002972278550153828,0.025,2,0.059445571003076556,0.12230294479414572
TREN.NS,TRENT,INDIA,CODIS,0.0029486840758795657,0.0017365967365967365,26,0.064442404112633,3.334262547758536
6409.TW,VOLTRONIC POWER TECH.,TAIWAN,INDUS,0.002736116304930464,0.018181818181818184,26,0.005787938337352901,-0.040142343834528194
KCHOL.IS,KOC HOLDING,TURKEY,ENEGY,0.0024965753132766763,0.02202784794782833,1,0.1133372319978633,0.11333723199786339
SBI.NS,STATE BANK OF INDIA,INDIA,FINAN,0.00244003838816004,0.002300454721160804,118,0.011288622417460857,1.0724857365134541
IRBR3.SA,IRB BRASIL RESSEGUROS ON,BRAZIL,FINAN,0.0023643215353948473,0.008287488908606921,14,-0.049847897033621184,-0.7535246507976178
BFRG.NS,BHARAT FORGE,INDIA,BMATR,0.002340734669325723,0.008295724601318551,26,0.01385279974600728,0.28709401253234956
4013.SE,DR SULAIMAN AL HABIB MED. GRP,SAUDI ARABIA,HLTHC,0.0022927182143448613,0.0027564102560445457,26,0.010872947244814822,0.21713267012901527
EMAR.DU,EMAAR PROPERTIES,UNITED ARAB EMIRATES,RLEST,0.002220877855959788,0.03666666666666667,4,0.017529946068154702,0.0704103743353015
PMET.KL,PRESS METAL ALUMINIUM HOLDINGS,MALAYSIA,BMATR,0.002212818358052415,0.017179560131946384,36,0.0021246122052097772,-0.04991982671480111
WEGE3.SA,WEG ON,BRAZIL,INDUS,0.002210954518951625,0.013978354978354979,56,0.014659729355283938,0.5263955644223106
CEZP.PR,CEZ,CZECH REPUBLIC,UTILS,0.0022018881151921565,0.04000000000000001,1,0.0550472028798039,0.055047202879803914
BBDC4.SA,BANCO BRADESCO PN,BRAZIL,FINAN,0.002172840171159935,0.009523809523809525,4,0.057037054492948276,0.22158973098794976
