ym,static_tc_bps,years_from_base,decay_factor,time_varying_tc_bps,commission_bps,spread_bps,impact_bps
2015-04-01,44.0649378033782,1.2457221081451062,0.9689532119525596,42.69686301907307,15.422728231182369,19.82922201152019,8.81298756067564
2015-05-01,43.59052195823331,1.3278576317590691,0.9669403756295042,42.14943567618027,15.256682685381657,19.61573488120499,8.718104391646662
2015-06-01,43.41077307009964,1.4127310061601643,0.9648648373770379,41.88552849869318,15.193770574534872,19.534847881544838,8.682154614019927
2015-07-01,44.12353846769338,1.4948665297741273,0.9628604939602925,42.48481204427922,15.443238463692682,19.855592310462022,8.824707693538675
2015-08-01,44.21690673236734,1.5797399041752225,0.9607937131769354,42.48332600458945,15.47591735632857,19.897608029565305,8.84338134647347
2015-09-01,44.70384748800455,1.6646132785763177,0.9587313687401033,42.85898089012343,15.64634662080159,20.116731369602046,8.94076949760091
2015-10-01,44.38573667932879,1.7467488021902806,0.9567397665664916,42.465599349462785,15.535007837765074,19.973581505697954,8.877147335865757
2015-11-01,44.385147556792376,1.8316221765913758,0.9546861239291454,42.37388448101729,15.53480164487733,19.97331640055657,8.877029511358476
2015-12-01,44.4531642440187,1.9137577002053388,0.9527029250670567,42.350659603762914,15.558607485406544,20.003923909808417,8.89063284880374
2016-01-01,44.18763120042021,1.998631074606434,0.9506579475130623,42.00732278245563,15.465670920147074,19.884434040189095,8.837526240084044
2016-02-01,44.27054129638757,2.083504449007529,0.9486173595049446,41.995803988433785,15.49468945373565,19.921743583374408,8.854108259277515
2016-03-01,45.081791363128396,2.16290212183436,0.9467123878757462,42.679490351103475,15.778626977094937,20.286806113407778,9.016358272625679
2016-04-01,45.8394771527908,2.2477754962354553,0.944680269014394,43.30364960817758,16.04381700347678,20.62776471875586,9.16789543055816
2016-05-01,45.414793530641774,2.329911019849418,0.9427178556226119,42.81333677075028,15.89517773572462,20.4366570887888,9.082958706128355
2016-06-01,44.77790419608826,2.414784394250513,0.9406943110277821,42.12231973700728,15.67226646863089,20.150056888239718,8.955580839217651
2016-07-01,45.47113320230979,2.4969199178644765,0.9387401777891785,42.68557966661171,15.914896620808424,20.462009941039405,9.094226640461958
2016-08-01,45.90995588496414,2.5817932922655715,0.9367251712828466,43.00501128993097,16.06848455973745,20.659480148233865,9.18199117699283
2016-09-01,44.95662563225949,2.6666666666666665,0.9347144899895148,42.02160939950698,15.734818971290819,20.23048153451677,8.991325126451898
2016-10-01,44.53964427843066,2.74880219028063,0.9327727788171601,41.54536776111959,15.58887549745073,20.042839925293798,8.907928855686132
2016-11-01,44.76176778615441,2.833675564681725,0.9307705813372651,41.662936624002604,15.666618725154041,20.142795503769484,8.952353557230882
2016-12-01,44.3605730685465,2.915811088295688,0.9288370629677127,41.20374440055335,15.526200573991273,19.962257880845925,8.8721146137093
2017-01-01,43.88681237138877,3.0006844626967832,0.9268433135048848,40.67619859746514,15.360384329986069,19.749065567124948,8.777362474277755
2017-02-01,47.01365614124006,3.0855578370978782,0.9248538436267969,43.48076058517444,16.45477964943402,21.156145263558027,9.402731228248014
2017-03-01,45.917946544603396,3.162217659137577,0.9230605738447514,42.38504608723423,16.07128129061119,20.66307594507153,9.183589308920679
2017-04-01,45.3423864607501,3.247091033538672,0.9210792236202239,41.76393011835585,15.869835261262534,20.404073907337544,9.06847729215002
2017-05-01,46.623249328986965,3.3292265571526354,0.919165837406272,42.854498012079716,16.318137265145438,20.980462198044133,9.324649865797394
2017-06-01,47.164868221370234,3.4140999315537304,0.9171928472364749,43.2592797734917,16.50770387747958,21.224190699616607,9.432973644274048
2017-07-01,44.622629905796074,3.4962354551676933,0.9152875343117735,40.84253690098289,15.617920467028625,20.080183457608236,8.924525981159215
2017-08-01,45.683192420536585,3.5811088295687883,0.9133228689225215,41.72350436306406,15.989117347187804,20.557436589241465,9.136638484107317
2017-09-01,44.823124343001936,3.6659822039698837,0.9113624206890233,40.85011110408333,15.688093520050677,20.170405954350873,8.964624868600387
2017-10-01,46.882304713555506,3.7481177275838466,0.9094692194887982,42.638013075673335,16.408806649744427,21.097037121099977,9.376460942711102
2017-11-01,44.72600332220783,3.8329911019849416,0.9075170431167435,40.5896102853997,15.65410116277274,20.126701494993526,8.945200664441566
2017-12-01,44.72048001821477,3.915126625598905,0.9056318300376762,40.500290159059176,15.652168006375168,20.124216008196647,8.944096003642954
2018-01-01,46.03086771933553,4.0,0.9036878906249999,41.59753775292472,16.110803701767434,20.71389047370099,9.206173543867108
2018-02-01,45.2211155689488,4.084873374401095,0.901748123879753,40.778056124049066,15.827390449132078,20.34950200602696,9.04422311378976
2018-03-01,43.45828597555526,4.161533196440794,0.899999655543147,39.11244240849531,15.210400091444342,19.55622868899987,8.691657195111054
2018-04-01,44.50083791381424,4.246406570841889,0.8980678055973113,39.96476985250078,15.575293269834981,20.025377061216407,8.900167582762847
2018-05-01,44.79250927732367,4.328542094455853,0.8962022217101075,40.14314633030808,15.677378247063283,20.15662917479565,8.958501855464734
2018-06-01,44.855441446290826,4.413415468856948,0.8942785229588857,40.11325792325774,15.699404506201788,20.184948650830872,8.971088289258166
2018-07-01,45.87290768190299,4.4955509924709105,0.8924208106651076,40.93793746104951,16.055517688666043,20.642808456856343,9.174581536380598
2018-08-01,45.99107127335578,4.5804243668720055,0.8905052287155727,40.955289443153895,16.09687494567452,20.6959820730101,9.198214254671155
2018-09-01,44.05724124257175,4.6652977412731005,0.8885937585641509,39.14898958770435,15.420034434900112,19.825758559157286,8.81144824851435
2018-10-01,44.112036568257665,4.747433264887063,0.8867478554063771,39.11625382451017,15.439212798890182,19.85041645571595,8.822407313651533
2018-11-01,44.71374262942049,4.832306639288158,0.8848444504596242,39.56470702492265,15.64980992029717,20.12118418323922,8.942748525884097
2018-12-01,44.57794164838575,4.914442162902122,0.8830063358549468,39.36260491489673,15.602279576935013,20.06007374177359,8.915588329677151
2019-01-01,42.127959772851405,4.999315537303217,0.8811109620827595,37.119407166040894,14.744785920497991,18.957581897783133,8.425591954570281
