date,BMATR,CODIS,COSTP,ENEGY,FINAN,HLTHC,INDUS,RLEST,TECNO,TELCM,UTILS
2019-09-01,0.020000000000000004,0.020000000000000004,0.2,0.02,0.2,0.2,0.02,0.2,0.08000000000000006,0.020000000000000004,0.02
2019-10-01,0.02,0.02,0.2,0.02,0.2,0.09886222257601288,0.02,0.2,0.18113777742398712,0.02,0.02
2019-11-01,0.02,0.02,0.2,0.02,0.2,0.09886221863922794,0.02,0.2,0.18113778136077205,0.02,0.02
2019-12-01,0.02,0.02,0.2,0.02,0.2,0.0988622183393605,0.02,0.2,0.18113778166063949,0.02,0.02
2020-01-01,0.18113778535825995,0.02,0.2,0.02,0.020000000000000004,0.09886221464174001,0.02,0.2,0.2,0.02,0.02
2020-02-01,0.1811377888021736,0.020000000000000004,0.2,0.02,0.02,0.09886221119782636,0.02,0.2,0.2,0.02,0.02
2020-03-01,0.18113778521202153,0.02,0.2,0.020000000000000004,0.020000000000000004,0.05241029200728831,0.020000000000000004,0.2,0.2,0.020000000000000004,0.06645192278069012
2020-04-01,0.02,0.020000000000000004,0.2,0.02,0.02,0.10778429807698593,0.020000000000000004,0.2,0.2,0.02,0.172215701923014
2020-05-01,0.02,0.02,0.2,0.02,0.02,0.10778431254724953,0.02,0.2,0.2,0.02,0.1722156874527504
2020-06-01,0.02,0.02,0.2,0.020000000000000004,0.020000000000000004,0.1077843220509718,0.02,0.2,0.2,0.02,0.17221567794902815
2020-07-01,0.02,0.02,0.2,0.02,0.02,0.19999999999999998,0.020000000000000004,0.2,0.2,0.02,0.07999999999999999
2020-08-01,0.02,0.02,0.2,0.02,0.02,0.19999999999999998,0.020000000000000004,0.2,0.2,0.02,0.07999999999999999
2020-09-01,0.02,0.02,0.2,0.02,0.02,0.19999999999999998,0.020000000000000004,0.2,0.2,0.02,0.07999999999999999
2020-10-01,0.02,0.02,0.2,0.02,0.02,0.19999999999999998,0.020000000000000004,0.2,0.2,0.02,0.07999999999999999
2020-11-01,0.02,0.02,0.2,0.02,0.02,0.19999999999999998,0.020000000000000004,0.2,0.2,0.02,0.07999999999999999
2020-12-01,0.02,0.02,0.2,0.02,0.02,0.11733161137396524,0.02,0.2,0.2,0.02,0.1626683886260349
2021-01-01,0.1431996288744266,0.02,0.2,0.02,0.02,0.11733161115205151,0.02,0.04544197640474236,0.2,0.02,0.19402678356877956
2021-02-01,0.19073561073916034,0.02,0.2,0.02,0.02,0.02,0.020000000000000004,0.08926438926083982,0.2,0.02,0.2
2021-03-01,0.1907356107391599,0.02,0.2,0.02,0.02,0.02,0.020000000000000004,0.08926438926084027,0.2,0.02,0.2
2021-04-01,0.2,0.02,0.19073561196264763,0.02,0.02,0.02,0.02,0.08926438803735236,0.2,0.02,0.2
2021-05-01,0.2,0.02,0.020000000000000056,0.020000000000000004,0.02,0.02,0.19999999999999996,0.08000000000000006,0.2,0.020000000000000004,0.2
2021-06-01,0.2,0.02,0.020000000000000056,0.020000000000000004,0.02,0.02,0.19999999999999996,0.08000000000000006,0.2,0.020000000000000004,0.2
2021-07-01,0.2,0.02,0.020000000000000056,0.020000000000000004,0.02,0.02,0.19999999999999996,0.08000000000000006,0.2,0.020000000000000004,0.2
2021-08-01,0.2,0.020000000157700447,0.020000000000000056,0.020000000000000004,0.02,0.020000000489686913,0.19999999999999996,0.0799999993526127,0.2,0.020000000000000004,0.2
2021-09-01,0.2,0.020000000000000004,0.02,0.020000000000000004,0.02,0.07999999999999996,0.2,0.020000000000000018,0.2,0.02,0.2
